system:time_start,LST_Day_1km
"Jan 1, 2010",23.582
"Jan 2, 2010",17.405
"Jan 3, 2010",23.974
"Jan 4, 2010",22.921
"Jan 5, 2010",25.133
"Jan 6, 2010",24.986
"Jan 7, 2010",23.434
"Jan 8, 2010",22.241
"Jan 9, 2010",22.172
"Jan 10, 2010",21.787
"Jan 11, 2010",19.324
"Jan 12, 2010",24.956
"Jan 13, 2010",22.159
"Jan 14, 2010",24.28
"Jan 15, 2010",22.56
"Jan 16, 2010",26.229
"Jan 17, 2010",25.903
"Jan 18, 2010",26.416
"Jan 19, 2010",25.756
"Jan 20, 2010",26.666
"Jan 21, 2010",23.573
"Jan 22, 2010",27.827
"Jan 23, 2010",27.906
"Jan 24, 2010",23.554
"Jan 25, 2010",26.291
"Jan 26, 2010",26.782
"Jan 27, 2010",25.623
"Jan 28, 2010",26.987
"Jan 29, 2010",25.306
"Jan 30, 2010",27.168
"Jan 31, 2010",26.055
"Feb 1, 2010",26.686
"Feb 2, 2010",26.299
"Feb 3, 2010",26.477
"Feb 4, 2010",25.857
"Feb 5, 2010",27.859
"Feb 6, 2010",30.152
"Feb 7, 2010",19.854
"Feb 8, 2010",16.594
"Feb 9, 2010",17.458
"Feb 10, 2010",20.353
"Feb 11, 2010",24.417
"Feb 12, 2010",24.303
"Feb 13, 2010",26.527
"Feb 14, 2010",26.189
"Feb 15, 2010",22.138
"Feb 16, 2010",25.639
"Feb 17, 2010",27.237
"Feb 18, 2010",28.965
"Feb 19, 2010",32.284
"Feb 20, 2010",31.91
"Feb 21, 2010",32.042
"Feb 22, 2010",29.67
"Feb 23, 2010",30.092
"Feb 24, 2010",32.217
"Feb 25, 2010",29.174
"Feb 26, 2010",30.627
"Feb 27, 2010",33.654
"Feb 28, 2010",29.681
"Mar 1, 2010",31.212
"Mar 2, 2010",26.282
"Mar 3, 2010",30.952
"Mar 4, 2010",31.957
"Mar 5, 2010",31.74
"Mar 6, 2010",
"Mar 7, 2010",32.542
"Mar 8, 2010",33.521
"Mar 9, 2010",33.408
"Mar 10, 2010",36.299
"Mar 11, 2010",37.035
"Mar 12, 2010",36.804
"Mar 13, 2010",39.2
"Mar 14, 2010",41.044
"Mar 15, 2010",41.109
"Mar 16, 2010",43.817
"Mar 17, 2010",40.249
"Mar 18, 2010",43.72
"Mar 19, 2010",42.714
"Mar 20, 2010",45.148
"Mar 21, 2010",40.895
"Mar 22, 2010",41.07
"Mar 23, 2010",37.25
"Mar 24, 2010",38.633
"Mar 25, 2010",41.589
"Mar 26, 2010",40.323
"Mar 27, 2010",42.958
"Mar 28, 2010",41.376
"Mar 29, 2010",40.982
"Mar 30, 2010",40.686
"Mar 31, 2010",41.849
"Apr 1, 2010",43.551
"Apr 2, 2010",40.25
"Apr 3, 2010",41.118
"Apr 4, 2010",40.372
"Apr 5, 2010",44.971
"Apr 6, 2010",42.329
"Apr 7, 2010",41.731
"Apr 8, 2010",46.011
"Apr 9, 2010",44.911
"Apr 10, 2010",42.783
"Apr 11, 2010",43.57
"Apr 12, 2010",44.779
"Apr 13, 2010",41.116
"Apr 14, 2010",47.32
"Apr 15, 2010",48.187
"Apr 16, 2010",48.374
"Apr 17, 2010",45.152
"Apr 18, 2010",44.714
"Apr 19, 2010",48.139
"Apr 20, 2010",42.016
"Apr 21, 2010",44.543
"Apr 22, 2010",44.281
"Apr 23, 2010",47.662
"Apr 24, 2010",47.867
"Apr 25, 2010",45.583
"Apr 26, 2010",47.962
"Apr 27, 2010",43.931
"Apr 28, 2010",44.565
"Apr 29, 2010",45.714
"Apr 30, 2010",41.284
"May 1, 2010",45.003
"May 2, 2010",44.794
"May 3, 2010",48.372
"May 4, 2010",40.983
"May 5, 2010",44.951
"May 6, 2010",45.552
"May 7, 2010",42.822
"May 8, 2010",45.41
"May 9, 2010",44.427
"May 10, 2010",45.508
"May 11, 2010",47.107
"May 12, 2010",50.412
"May 13, 2010",44.877
"May 14, 2010",48.886
"May 15, 2010",46.532
"May 16, 2010",46.142
"May 17, 2010",42.284
"May 18, 2010",46.146
"May 19, 2010",52.112
"May 20, 2010",51.08
"May 21, 2010",54.156
"May 22, 2010",47.049
"May 23, 2010",49.941
"May 24, 2010",50
"May 25, 2010",52.932
"May 26, 2010",50.551
"May 27, 2010",45.027
"May 28, 2010",46.367
"May 29, 2010",48.63
"May 30, 2010",53.029
"May 31, 2010",50.94
"Jun 1, 2010",51.565
"Jun 2, 2010",48.993
"Jun 3, 2010",41.915
"Jun 4, 2010",46.247
"Jun 5, 2010",43.183
"Jun 6, 2010",45.722
"Jun 7, 2010",44.211
"Jun 8, 2010",45.902
"Jun 9, 2010",46.819
"Jun 10, 2010",48.52
"Jun 11, 2010",49.155
"Jun 12, 2010",46.337
"Jun 13, 2010",48.646
"Jun 14, 2010",41.632
"Jun 15, 2010",42.724
"Jun 16, 2010",44.756
"Jun 17, 2010",48.172
"Jun 18, 2010",49.892
"Jun 19, 2010",50.673
"Jun 20, 2010",54.069
"Jun 21, 2010",46.956
"Jun 22, 2010",50.624
"Jun 23, 2010",46.715
"Jun 24, 2010",47.488
"Jun 25, 2010",49.174
"Jun 26, 2010",
"Jun 27, 2010",50.423
"Jun 28, 2010",46.926
"Jun 29, 2010",48.335
"Jun 30, 2010",45.13
"Jul 1, 2010",49.793
"Jul 2, 2010",48.631
"Jul 3, 2010",47.521
"Jul 4, 2010",48.861
"Jul 5, 2010",44.432
"Jul 6, 2010",45.468
"Jul 7, 2010",39.339
"Jul 8, 2010",47.041
"Jul 9, 2010",42.513
"Jul 10, 2010",47.151
"Jul 11, 2010",45.953
"Jul 12, 2010",41.973
"Jul 13, 2010",43.902
"Jul 14, 2010",41.366
"Jul 15, 2010",45.966
"Jul 16, 2010",42.589
"Jul 17, 2010",49.087
"Jul 18, 2010",45.144
"Jul 19, 2010",42.63
"Jul 20, 2010",42.891
"Jul 21, 2010",39.618
"Jul 22, 2010",41.851
"Jul 23, 2010",45.496
"Jul 24, 2010",42.21
"Jul 25, 2010",41.453
"Jul 26, 2010",44.908
"Jul 27, 2010",39.366
"Jul 28, 2010",37.704
"Jul 29, 2010",45.085
"Jul 30, 2010",34.81
"Jul 31, 2010",41.848
"Aug 1, 2010",39.746
"Aug 2, 2010",46.788
"Aug 3, 2010",48.5
"Aug 4, 2010",47.629
"Aug 5, 2010",44.967
"Aug 6, 2010",41.84
"Aug 7, 2010",48.409
"Aug 8, 2010",51.708
"Aug 9, 2010",44.031
"Aug 10, 2010",38.554
"Aug 11, 2010",43.993
"Aug 12, 2010",43.842
"Aug 13, 2010",40.634
"Aug 14, 2010",44.459
"Aug 15, 2010",42.187
"Aug 16, 2010",51.072
"Aug 17, 2010",45.218
"Aug 18, 2010",46.068
"Aug 19, 2010",46.826
"Aug 20, 2010",44.789
"Aug 21, 2010",44.588
"Aug 22, 2010",44.034
"Aug 23, 2010",43.263
"Aug 24, 2010",32.396
"Aug 25, 2010",41.357
"Aug 26, 2010",43.002
"Aug 27, 2010",42.569
"Aug 28, 2010",41.976
"Aug 29, 2010",41.992
"Aug 30, 2010",45.306
"Aug 31, 2010",43.088
"Sep 1, 2010",44.961
"Sep 2, 2010",41.919
