system:time_start,NDSI
"Jan 1, 2015",-0.333
"Jan 2, 2015",-0.34
"Jan 3, 2015",-0.359
"Jan 4, 2015",-0.303
"Jan 5, 2015",-0.352
"Jan 6, 2015",-0.321
"Jan 7, 2015",-0.318
"Jan 8, 2015",-0.316
"Jan 9, 2015",-0.304
"Jan 10, 2015",-0.228
"Jan 11, 2015",-0.268
"Jan 12, 2015",-0.304
"Jan 13, 2015",-0.251
"Jan 14, 2015",-0.337
"Jan 15, 2015",-0.315
"Jan 16, 2015",-0.336
"Jan 17, 2015",-0.325
"Jan 18, 2015",-0.322
"Jan 19, 2015",-0.218
"Jan 20, 2015",0.159
"Jan 21, 2015",-0.133
"Jan 22, 2015",-0.25
"Jan 23, 2015",-0.321
"Jan 24, 2015",-0.167
"Jan 25, 2015",-0.301
"Jan 26, 2015",-0.34
"Jan 27, 2015",-0.324
"Jan 28, 2015",-0.348
"Jan 29, 2015",-0.322
"Jan 30, 2015",-0.327
"Jan 31, 2015",-0.31
"Feb 1, 2015",-0.268
"Feb 2, 2015",0.021
"Feb 3, 2015",-0.308
"Feb 4, 2015",-0.269
"Feb 5, 2015",-0.27
"Feb 6, 2015",-0.099
"Feb 7, 2015",-0.202
"Feb 8, 2015",-0.338
"Feb 9, 2015",-0.278
"Feb 10, 2015",-0.271
"Feb 11, 2015",-0.321
"Feb 12, 2015",-0.287
"Feb 13, 2015",-0.294
"Feb 14, 2015",-0.322
"Feb 15, 2015",-0.138
"Feb 16, 2015",-0.276
"Feb 17, 2015",-0.321
"Feb 18, 2015",-0.311
"Feb 19, 2015",-0.284
"Feb 20, 2015",-0.244
"Feb 21, 2015",-0.266
"Feb 22, 2015",0.172
"Feb 23, 2015",0.201
"Feb 24, 2015",-0.232
"Feb 25, 2015",-0.287
"Feb 26, 2015",-0.329
"Feb 27, 2015",-0.26
"Feb 28, 2015",0.262
"Mar 1, 2015",-0.125
"Mar 2, 2015",-0.312
"Mar 3, 2015",-0.35
"Mar 4, 2015",-0.257
"Mar 5, 2015",-0.215
"Mar 6, 2015",-0.168
"Mar 7, 2015",-0.213
"Mar 8, 2015",-0.311
"Mar 9, 2015",-0.308
"Mar 10, 2015",-0.221
"Mar 11, 2015",-0.057
"Mar 12, 2015",-0.052
"Mar 13, 2015",0.022
"Mar 14, 2015",0.015
"Mar 15, 2015",-0.167
"Mar 16, 2015",-0.282
"Mar 17, 2015",-0.179
"Mar 18, 2015",-0.28
"Mar 19, 2015",-0.092
"Mar 20, 2015",-0.292
"Mar 21, 2015",-0.126
"Mar 22, 2015",-0.186
"Mar 23, 2015",-0.293
"Mar 24, 2015",-0.196
"Mar 25, 2015",-0.227
"Mar 26, 2015",-0.201
"Mar 27, 2015",-0.283
"Mar 28, 2015",-0.037
"Mar 29, 2015",-0.292
"Mar 30, 2015",-0.25
"Mar 31, 2015",-0.273
"Apr 1, 2015",-0.237
"Apr 2, 2015",-0.001
"Apr 3, 2015",-0.208
"Apr 4, 2015",-0.304
"Apr 5, 2015",-0.264
"Apr 6, 2015",-0.255
"Apr 7, 2015",-0.301
"Apr 8, 2015",-0.322
"Apr 9, 2015",-0.23
"Apr 10, 2015",-0.266
"Apr 11, 2015",-0.27
"Apr 12, 2015",-0.305
"Apr 13, 2015",-0.284
"Apr 14, 2015",-0.289
"Apr 15, 2015",-0.318
"Apr 16, 2015",-0.283
"Apr 17, 2015",-0.292
"Apr 18, 2015",-0.299
"Apr 19, 2015",-0.286
"Apr 20, 2015",-0.315
"Apr 21, 2015",-0.302
"Apr 22, 2015",-0.334
"Apr 23, 2015",-0.309
"Apr 24, 2015",-0.321
"Apr 25, 2015",-0.305
"Apr 26, 2015",-0.301
"Apr 27, 2015",-0.276
"Apr 28, 2015",-0.3
"Apr 29, 2015",-0.311
"Apr 30, 2015",-0.292
"May 1, 2015",-0.325
"May 2, 2015",-0.313
"May 3, 2015",-0.316
"May 4, 2015",-0.308
"May 5, 2015",-0.302
"May 6, 2015",-0.117
"May 7, 2015",-0.271
"May 8, 2015",-0.059
"May 9, 2015",-0.201
"May 10, 2015",-0.018
"May 11, 2015",-0.216
"May 12, 2015",-0.261
"May 13, 2015",-0.315
"May 14, 2015",-0.311
"May 15, 2015",-0.34
"May 16, 2015",-0.309
"May 17, 2015",-0.304
"May 18, 2015",-0.289
"May 19, 2015",-0.303
"May 20, 2015",-0.307
"May 21, 2015",-0.308
"May 22, 2015",-0.332
"May 23, 2015",-0.295
"May 24, 2015",-0.318
"May 25, 2015",-0.304
"May 26, 2015",-0.317
"May 27, 2015",-0.255
"May 28, 2015",-0.25
"May 29, 2015",-0.298
"May 30, 2015",-0.299
"May 31, 2015",-0.327
"Jun 1, 2015",-0.293
"Jun 2, 2015",-0.287
"Jun 3, 2015",-0.263
"Jun 4, 2015",-0.296
"Jun 5, 2015",-0.313
"Jun 6, 2015",-0.304
"Jun 7, 2015",-0.326
"Jun 8, 2015",-0.291
"Jun 9, 2015",-0.233
"Jun 10, 2015",-0.199
"Jun 11, 2015",-0.294
"Jun 12, 2015",-0.286
"Jun 13, 2015",-0.303
"Jun 14, 2015",-0.304
"Jun 15, 2015",-0.254
"Jun 16, 2015",-0.244
"Jun 17, 2015",-0.268
"Jun 18, 2015",-0.301
"Jun 19, 2015",-0.28
"Jun 20, 2015",-0.296
"Jun 21, 2015",-0.211
"Jun 22, 2015",-0.288
"Jun 23, 2015",-0.217
"Jun 24, 2015",-0.252
"Jun 25, 2015",-0.316
"Jun 26, 2015",-0.304
"Jun 27, 2015",-0.309
"Jun 28, 2015",-0.263
"Jun 29, 2015",-0.292
"Jun 30, 2015",-0.249
"Jul 1, 2015",-0.257
"Jul 2, 2015",-0.261
"Jul 3, 2015",-0.226
"Jul 4, 2015",-0.287
"Jul 5, 2015",-0.259
"Jul 6, 2015",-0.275
"Jul 7, 2015",-0.177
"Jul 8, 2015",-0.258
"Jul 9, 2015",-0.285
"Jul 10, 2015",-0.279
"Jul 11, 2015",-0.181
"Jul 12, 2015",-0.227
"Jul 13, 2015",-0.276
"Jul 14, 2015",-0.275
"Jul 15, 2015",-0.302
"Jul 16, 2015",-0.288
"Jul 17, 2015",-0.262
"Jul 18, 2015",-0.172
"Jul 19, 2015",-0.192
"Jul 20, 2015",-0.174
"Jul 21, 2015",-0.177
"Jul 22, 2015",-0.206
"Jul 23, 2015",-0.067
"Jul 24, 2015",-0.084
"Jul 25, 2015",-0.181
"Jul 26, 2015",-0.041
"Jul 27, 2015",-0.037
"Jul 28, 2015",-0.161
"Jul 29, 2015",-0.145
"Jul 30, 2015",-0.061
"Jul 31, 2015",-0.083
"Aug 1, 2015",-0.274
"Aug 2, 2015",-0.235
"Aug 3, 2015",-0.289
"Aug 4, 2015",-0.29
"Aug 5, 2015",-0.313
"Aug 6, 2015",-0.294
"Aug 7, 2015",-0.31
"Aug 8, 2015",-0.29
"Aug 9, 2015",-0.259
"Aug 10, 2015",-0.209
"Aug 11, 2015",-0.228
"Aug 12, 2015",-0.278
"Aug 13, 2015",-0.24
"Aug 14, 2015",-0.221
"Aug 15, 2015",-0.215
"Aug 16, 2015",-0.304
"Aug 17, 2015",-0.328
"Aug 18, 2015",-0.258
"Aug 19, 2015",-0.312
"Aug 20, 2015",-0.288
"Aug 21, 2015",-0.295
"Aug 22, 2015",-0.257
"Aug 23, 2015",-0.269
"Aug 24, 2015",-0.28
"Aug 25, 2015",-0.279
"Aug 26, 2015",-0.294
"Aug 27, 2015",-0.286
"Aug 28, 2015",-0.305
"Aug 29, 2015",-0.284
"Aug 30, 2015",-0.295
"Aug 31, 2015",-0.264
"Sep 1, 2015",-0.311
"Sep 2, 2015",-0.329
"Sep 3, 2015",-0.296
"Sep 4, 2015",-0.275
"Sep 5, 2015",-0.299
"Sep 6, 2015",-0.327
"Sep 7, 2015",-0.313
"Sep 8, 2015",-0.307
"Sep 9, 2015",-0.329
"Sep 10, 2015",-0.315
"Sep 11, 2015",-0.339
"Sep 12, 2015",-0.317
"Sep 13, 2015",-0.333
"Sep 14, 2015",-0.312
"Sep 15, 2015",-0.318
"Sep 16, 2015",-0.309
"Sep 17, 2015",-0.315
