system:time_start,LST_Day_1km
"Jan 1, 2015",24.024
"Jan 2, 2015",24.745
"Jan 3, 2015",26.129
"Jan 4, 2015",24.278
"Jan 5, 2015",26.578
"Jan 6, 2015",26.27
"Jan 7, 2015",25.015
"Jan 8, 2015",26.778
"Jan 9, 2015",25.972
"Jan 10, 2015",21.736
"Jan 11, 2015",27.061
"Jan 12, 2015",25.498
"Jan 13, 2015",22.929
"Jan 14, 2015",22.338
"Jan 15, 2015",23.599
"Jan 16, 2015",25.056
"Jan 17, 2015",25.11
"Jan 18, 2015",26.227
"Jan 19, 2015",25.169
"Jan 20, 2015",20.185
"Jan 21, 2015",19.506
"Jan 22, 2015",19.458
"Jan 23, 2015",19.793
"Jan 24, 2015",21.104
"Jan 25, 2015",20.392
"Jan 26, 2015",22.621
"Jan 27, 2015",20.758
"Jan 28, 2015",24.615
"Jan 29, 2015",24.316
"Jan 30, 2015",25.924
"Jan 31, 2015",26.28
"Feb 1, 2015",26.49
"Feb 2, 2015",25.352
"Feb 3, 2015",24.608
"Feb 4, 2015",24.86
"Feb 5, 2015",26.247
"Feb 6, 2015",27.74
"Feb 7, 2015",23.542
"Feb 8, 2015",24.288
"Feb 9, 2015",23.638
"Feb 10, 2015",26.881
"Feb 11, 2015",26.973
"Feb 12, 2015",28.913
"Feb 13, 2015",30.787
"Feb 14, 2015",32.751
"Feb 15, 2015",34.081
"Feb 16, 2015",31.79
"Feb 17, 2015",33.129
"Feb 18, 2015",30.88
"Feb 19, 2015",32.378
"Feb 20, 2015",29.404
"Feb 21, 2015",32.5
"Feb 22, 2015",22.994
"Feb 23, 2015",24.822
"Feb 24, 2015",25.859
"Feb 25, 2015",24.747
"Feb 26, 2015",26.298
"Feb 27, 2015",25.211
"Feb 28, 2015",18.16
"Mar 1, 2015",26.65
"Mar 2, 2015",27.474
"Mar 3, 2015",29.195
"Mar 4, 2015",29.042
"Mar 5, 2015",30.173
"Mar 6, 2015",31.01
"Mar 7, 2015",20.409
"Mar 8, 2015",28.684
"Mar 9, 2015",29.634
"Mar 10, 2015",27.449
"Mar 11, 2015",25.949
"Mar 12, 2015",24.533
"Mar 13, 2015",26.638
"Mar 14, 2015",26.796
"Mar 15, 2015",31.041
"Mar 16, 2015",30.708
"Mar 17, 2015",31.843
"Mar 18, 2015",33.181
"Mar 19, 2015",36.741
"Mar 20, 2015",35.034
"Mar 21, 2015",35.146
"Mar 22, 2015",37.162
"Mar 23, 2015",39.333
"Mar 24, 2015",32.661
"Mar 25, 2015",34.424
"Mar 26, 2015",36.745
"Mar 27, 2015",39.409
"Mar 28, 2015",33.314
"Mar 29, 2015",34.492
"Mar 30, 2015",39.55
"Mar 31, 2015",38.221
"Apr 1, 2015",35.086
"Apr 2, 2015",38.312
"Apr 3, 2015",27.356
"Apr 4, 2015",34.654
"Apr 5, 2015",35.004
"Apr 6, 2015",35.212
"Apr 7, 2015",36.359
"Apr 8, 2015",42.266
"Apr 9, 2015",35.557
"Apr 10, 2015",41.646
"Apr 11, 2015",41.572
"Apr 12, 2015",43.587
"Apr 13, 2015",40.238
"Apr 14, 2015",41.641
"Apr 15, 2015",44.247
"Apr 16, 2015",40.476
"Apr 17, 2015",44.898
"Apr 18, 2015",42.561
"Apr 19, 2015",42.689
"Apr 20, 2015",42.012
"Apr 21, 2015",45.921
"Apr 22, 2015",48.2
"Apr 23, 2015",47.181
"Apr 24, 2015",50.249
"Apr 25, 2015",47.596
"Apr 26, 2015",49.496
"Apr 27, 2015",40.893
"Apr 28, 2015",47.888
"Apr 29, 2015",45.957
"Apr 30, 2015",44.187
"May 1, 2015",48.216
"May 2, 2015",47.208
"May 3, 2015",50.374
"May 4, 2015",46.652
"May 5, 2015",49.757
"May 6, 2015",42.436
"May 7, 2015",47.29
"May 8, 2015",42.804
"May 9, 2015",41.703
"May 10, 2015",43.135
"May 11, 2015",44.551
"May 12, 2015",45.825
"May 13, 2015",45.249
"May 14, 2015",48.964
"May 15, 2015",51.182
"May 16, 2015",51.186
"May 17, 2015",49.179
"May 18, 2015",45.109
"May 19, 2015",49.056
"May 20, 2015",48.394
"May 21, 2015",51.927
"May 22, 2015",50.313
"May 23, 2015",47.123
"May 24, 2015",48.015
"May 25, 2015",46.542
"May 26, 2015",51.32
"May 27, 2015",44.463
"May 28, 2015",48.407
"May 29, 2015",45.024
"May 30, 2015",50.328
"May 31, 2015",49.143
"Jun 1, 2015",47.794
"Jun 2, 2015",47.036
"Jun 3, 2015",41.049
"Jun 4, 2015",44.926
"Jun 5, 2015",43.179
"Jun 6, 2015",48.83
"Jun 7, 2015",47.918
"Jun 8, 2015",49.17
"Jun 9, 2015",43.786
"Jun 10, 2015",39.745
"Jun 11, 2015",45.805
"Jun 12, 2015",44.484
"Jun 13, 2015",50.46
"Jun 14, 2015",45.579
"Jun 15, 2015",43.129
"Jun 16, 2015",46.324
"Jun 17, 2015",44.316
"Jun 18, 2015",49.346
"Jun 19, 2015",45.384
"Jun 20, 2015",50.909
"Jun 21, 2015",44.166
"Jun 22, 2015",45.514
"Jun 23, 2015",44.624
"Jun 24, 2015",44.824
"Jun 25, 2015",46.316
"Jun 26, 2015",48.102
"Jun 27, 2015",51.151
"Jun 28, 2015",43.16
"Jun 29, 2015",47.671
"Jun 30, 2015",44.962
"Jul 1, 2015",43.892
"Jul 2, 2015",46.69
"Jul 3, 2015",43.51
"Jul 4, 2015",46.179
"Jul 5, 2015",41.628
"Jul 6, 2015",44.888
"Jul 7, 2015",44.711
"Jul 8, 2015",44.847
"Jul 9, 2015",43.36
"Jul 10, 2015",45.556
"Jul 11, 2015",47.252
"Jul 12, 2015",39.497
"Jul 13, 2015",44.123
"Jul 14, 2015",43.109
"Jul 15, 2015",50.596
"Jul 16, 2015",43.38
"Jul 17, 2015",43.997
"Jul 18, 2015",43.421
"Jul 19, 2015",40.568
"Jul 20, 2015",46.686
"Jul 21, 2015",38.261
"Jul 22, 2015",40.902
"Jul 23, 2015",39.57
"Jul 24, 2015",45.34
"Jul 25, 2015",44.328
"Jul 26, 2015",43.689
"Jul 27, 2015",47.287
"Jul 28, 2015",45.464
"Jul 29, 2015",47.163
"Jul 30, 2015",46.123
"Jul 31, 2015",43.203
"Aug 1, 2015",43.354
"Aug 2, 2015",45.528
"Aug 3, 2015",44.833
"Aug 4, 2015",45.677
"Aug 5, 2015",48.527
"Aug 6, 2015",45.028
"Aug 7, 2015",48.979
"Aug 8, 2015",45.157
"Aug 9, 2015",43.961
"Aug 10, 2015",39.508
"Aug 11, 2015",38.503
"Aug 12, 2015",42.35
"Aug 13, 2015",40.176
"Aug 14, 2015",46.737
"Aug 15, 2015",45.199
"Aug 16, 2015",47.31
"Aug 17, 2015",46.59
"Aug 18, 2015",48.677
"Aug 19, 2015",47.987
"Aug 20, 2015",47.046
"Aug 21, 2015",46.551
"Aug 22, 2015",40.719
"Aug 23, 2015",44.82
"Aug 24, 2015",43.301
"Aug 25, 2015",46.005
"Aug 26, 2015",43.741
"Aug 27, 2015",43.954
"Aug 28, 2015",45.707
"Aug 29, 2015",42.436
"Aug 30, 2015",43.14
"Aug 31, 2015",39.97
"Sep 1, 2015",46.553
"Sep 2, 2015",45.438
"Sep 3, 2015",44.463
"Sep 4, 2015",41.214
"Sep 5, 2015",42.853
"Sep 6, 2015",46.138
"Sep 7, 2015",42.927
"Sep 8, 2015",46.461
"Sep 9, 2015",44.33
"Sep 10, 2015",47.494
"Sep 11, 2015",46.713
"Sep 12, 2015",47.398
"Sep 13, 2015",47.612
"Sep 14, 2015",44.392
"Sep 15, 2015",45.876
"Sep 16, 2015",41.959
"Sep 17, 2015",46.69
"Sep 18, 2015",45.747
"Sep 19, 2015",43.381
"Sep 20, 2015",40.596
"Sep 21, 2015",37.842
"Sep 22, 2015",41.242
"Sep 23, 2015",39.393
"Sep 24, 2015",43.797
"Sep 25, 2015",42.119
"Sep 26, 2015",43.071
"Sep 27, 2015",42.28
"Sep 28, 2015",42.634
"Sep 29, 2015",43.803
"Sep 30, 2015",42.912
"Oct 1, 2015",46.583
"Oct 2, 2015",45.913
"Oct 3, 2015",45.744
"Oct 4, 2015",43.662
"Oct 5, 2015",44.082
"Oct 6, 2015",43.253
"Oct 7, 2015",43.539
"Oct 8, 2015",45.889
"Oct 9, 2015",44.213
"Oct 10, 2015",45.702
"Oct 11, 2015",43.411
"Oct 12, 2015",43.691
"Oct 13, 2015",42.907
"Oct 14, 2015",42.053
"Oct 15, 2015",42.504
"Oct 16, 2015",40.662
"Oct 17, 2015",43.168
"Oct 18, 2015",39.999
"Oct 19, 2015",37.434
"Oct 20, 2015",37.933
"Oct 21, 2015",39.779
"Oct 22, 2015",40.368
"Oct 23, 2015",35.315
"Oct 24, 2015",40.381
"Oct 25, 2015",35.993
"Oct 26, 2015",37.542
"Oct 27, 2015",36.253
"Oct 28, 2015",37.02
"Oct 29, 2015",35.618
"Oct 30, 2015",37.758
"Oct 31, 2015",38.546
"Nov 1, 2015",35.032
"Nov 2, 2015",35.286
"Nov 3, 2015",33.007
"Nov 4, 2015",33.834
"Nov 5, 2015",31.838
"Nov 6, 2015",33.429
"Nov 7, 2015",34.385
"Nov 8, 2015",33.736
"Nov 9, 2015",33.836
"Nov 10, 2015",31.954
"Nov 11, 2015",33.792
"Nov 12, 2015",33.928
"Nov 13, 2015",32.503
"Nov 14, 2015",33.027
"Nov 15, 2015",31.696
"Nov 16, 2015",32.464
"Nov 17, 2015",31.096
"Nov 18, 2015",32.022
"Nov 19, 2015",32.506
"Nov 20, 2015",32.507
"Nov 21, 2015",31.48
"Nov 22, 2015",30.464
"Nov 23, 2015",28.953
"Nov 24, 2015",27.115
"Nov 25, 2015",27.898
"Nov 26, 2015",26.506
"Nov 27, 2015",28.704
"Nov 28, 2015",28.341
"Nov 29, 2015",28.522
"Nov 30, 2015",29.483
"Dec 1, 2015",29.106
"Dec 2, 2015",30.229
"Dec 3, 2015",29.947
"Dec 4, 2015",31.319
"Dec 5, 2015",31.646
"Dec 6, 2015",26.384
"Dec 7, 2015",24.861
"Dec 8, 2015",26.111
"Dec 9, 2015",23.453
"Dec 10, 2015",22.549
"Dec 11, 2015",19.881
"Dec 12, 2015",22.517
"Dec 13, 2015",22.836
"Dec 14, 2015",23.671
"Dec 15, 2015",23.718
"Dec 16, 2015",23.338
"Dec 17, 2015",22.645
"Dec 18, 2015",23.914
"Dec 19, 2015",24.24
"Dec 20, 2015",22.204
"Dec 21, 2015",25.063
"Dec 22, 2015",22.446
"Dec 23, 2015",21.273
"Dec 24, 2015",22.647
"Dec 25, 2015",24.523
"Dec 26, 2015",20.559
"Dec 27, 2015",20.047
"Dec 28, 2015",23.017
"Dec 29, 2015",25.621
"Dec 30, 2015",24.89
"Dec 31, 2015",23.845
"Jan 1, 2016",27.208
"Jan 2, 2016",27.119
"Jan 3, 2016",27.936
"Jan 4, 2016",26.957
"Jan 5, 2016",25.922
"Jan 6, 2016",26.839
"Jan 7, 2016",25.71
"Jan 8, 2016",26.697
"Jan 9, 2016",25.875
"Jan 10, 2016",26.978
"Jan 11, 2016",25.707
"Jan 12, 2016",23.116
"Jan 13, 2016",23.893
"Jan 14, 2016",25.832
"Jan 15, 2016",26.993
"Jan 16, 2016",26.29
"Jan 17, 2016",26.093
"Jan 18, 2016",23.283
"Jan 19, 2016",24.738
"Jan 20, 2016",25.699
"Jan 21, 2016",26.636
"Jan 22, 2016",26.772
"Jan 23, 2016",26.283
"Jan 24, 2016",27.618
"Jan 25, 2016",26.408
"Jan 26, 2016",26.044
"Jan 27, 2016",27.758
"Jan 28, 2016",28.911
"Jan 29, 2016",26.243
"Jan 30, 2016",24.714
"Jan 31, 2016",24.263
"Feb 1, 2016",24.122
"Feb 2, 2016",25.684
"Feb 3, 2016",26.549
"Feb 4, 2016",28.108
"Feb 5, 2016",24.771
"Feb 6, 2016",27.219
"Feb 7, 2016",29.113
"Feb 8, 2016",29.394
"Feb 9, 2016",28.769
"Feb 10, 2016",23.083
"Feb 11, 2016",22.787
"Feb 12, 2016",25.972
"Feb 13, 2016",26.249
"Feb 14, 2016",26.395
"Feb 15, 2016",28.54
"Feb 16, 2016",28.868
"Feb 17, 2016",29.143
"Feb 18, 2016",30.092
"Feb 28, 2016",35.165
"Feb 29, 2016",33.244
"Mar 1, 2016",29.046
"Mar 2, 2016",29.444
"Mar 3, 2016",31.552
"Mar 4, 2016",31.75
"Mar 5, 2016",34.378
"Mar 6, 2016",33.44
"Mar 7, 2016",29.795
"Mar 8, 2016",28.168
"Mar 9, 2016",28.508
"Mar 10, 2016",35.441
"Mar 11, 2016",29.668
"Mar 12, 2016",29.661
"Mar 13, 2016",30.517
"Mar 14, 2016",31.53
"Mar 15, 2016",32.263
"Mar 16, 2016",35.198
"Mar 17, 2016",34.066
"Mar 18, 2016",34.301
"Mar 19, 2016",33.406
"Mar 20, 2016",36.331
"Mar 21, 2016",38.293
"Mar 22, 2016",37.149
"Mar 23, 2016",35.872
"Mar 24, 2016",32.656
"Mar 25, 2016",34.37
"Mar 26, 2016",34.777
"Mar 27, 2016",35.296
"Mar 28, 2016",35.092
"Mar 29, 2016",36.326
"Mar 30, 2016",34.374
"Mar 31, 2016",36.932
"Apr 1, 2016",40.777
"Apr 2, 2016",34.656
"Apr 3, 2016",35.897
"Apr 4, 2016",36.314
"Apr 5, 2016",38.343
"Apr 6, 2016",37.813
"Apr 7, 2016",36.84
"Apr 8, 2016",40.275
"Apr 9, 2016",30.742
"Apr 10, 2016",39.791
"Apr 11, 2016",36.392
"Apr 12, 2016",42.331
"Apr 13, 2016",42.892
"Apr 14, 2016",43.287
"Apr 15, 2016",39.87
"Apr 16, 2016",41.42
"Apr 17, 2016",42.448
"Apr 18, 2016",37.425
"Apr 19, 2016",39.408
"Apr 20, 2016",39.68
"Apr 21, 2016",41.496
"Apr 22, 2016",42.693
"Apr 23, 2016",44.365
"Apr 24, 2016",40.941
"Apr 25, 2016",43.62
"Apr 26, 2016",46.169
"Apr 27, 2016",46.315
"Apr 28, 2016",49.531
"Apr 29, 2016",47.932
"Apr 30, 2016",49.515
"May 1, 2016",42.184
"May 2, 2016",44.256
"May 3, 2016",45.192
"May 4, 2016",43.823
"May 5, 2016",46.864
"May 6, 2016",47.781
"May 7, 2016",51.367
"May 8, 2016",49.797
"May 9, 2016",50.287
"May 10, 2016",47.754
"May 11, 2016",44.313
"May 12, 2016",47.794
"May 13, 2016",46.634
"May 14, 2016",47.931
"May 15, 2016",45.958
"May 16, 2016",50.206
"May 17, 2016",52.874
"May 18, 2016",52.297
"May 19, 2016",52.644
"May 20, 2016",50.805
"May 21, 2016",53.233
"May 22, 2016",46.754
"May 23, 2016",46.593
"May 24, 2016",46.628
"May 25, 2016",49.379
"May 26, 2016",50.648
"May 27, 2016",42.689
"May 28, 2016",49.805
"May 29, 2016",48.336
"May 30, 2016",52.242
"May 31, 2016",49.296
"Jun 1, 2016",48.388
"Jun 2, 2016",48.128
"Jun 3, 2016",47.423
"Jun 4, 2016",51.358
"Jun 5, 2016",49.226
"Jun 6, 2016",53.807
"Jun 7, 2016",51.619
"Jun 8, 2016",53.21
"Jun 9, 2016",49.149
"Jun 10, 2016",46.985
"Jun 11, 2016",47.456
"Jun 12, 2016",45.633
"Jun 13, 2016",52.087
"Jun 14, 2016",45.344
"Jun 15, 2016",46.527
"Jun 16, 2016",44.58
"Jun 17, 2016",50.576
"Jun 18, 2016",50.185
"Jun 19, 2016",48.709
"Jun 20, 2016",51.332
"Jun 21, 2016",45.953
"Jun 22, 2016",46.031
"Jun 23, 2016",41.916
"Jun 24, 2016",46.581
"Jun 25, 2016",47.062
"Jun 26, 2016",47.22
"Jun 27, 2016",46.787
"Jun 28, 2016",40.898
"Jun 29, 2016",47.001
"Jun 30, 2016",43.843
"Jul 1, 2016",49.707
"Jul 2, 2016",49.022
"Jul 3, 2016",46.997
"Jul 4, 2016",46.948
"Jul 5, 2016",46.591
"Jul 6, 2016",46.914
"Jul 7, 2016",44.238
"Jul 8, 2016",49.858
"Jul 9, 2016",44.611
"Jul 10, 2016",43.413
"Jul 11, 2016",44.042
"Jul 12, 2016",46.705
"Jul 13, 2016",47.483
"Jul 14, 2016",39.876
"Jul 15, 2016",40.964
"Jul 16, 2016",40.47
"Jul 17, 2016",44.064
"Jul 18, 2016",42.47
"Jul 19, 2016",42.317
"Jul 20, 2016",46.498
"Jul 21, 2016",48.99
"Jul 22, 2016",48.678
"Jul 23, 2016",41.302
"Jul 24, 2016",45.993
"Jul 25, 2016",41.428
"Jul 26, 2016",46.152
