system:time_start, NDSI
"Jan 1, 2005"    , -0.201
"Jan 2, 2005"    , -0.231
"Jan 3, 2005"    , -0.222
"Jan 4, 2005"    , -0.014
"Jan 5, 2005"    , -0.197
"Jan 6, 2005"    , -0.27
"Jan 7, 2005"    , -0.259
"Jan 8, 2005"    , -0.222
"Jan 9, 2005"    , -0.301
"Jan 10, 2005"   , -0.295
"Jan 11, 2005"   , -0.27
"Jan 12, 2005"   , -0.107
"Jan 13, 2005"   , -0.192
"Jan 14, 2005"   , -0.214
"Jan 15, 2005"   , -0.299
"Jan 16, 2005"   , -0.307
"Jan 17, 2005"   , -0.314
"Jan 18, 2005"   , -0.325
"Jan 19, 2005"   , -0.269
"Jan 20, 2005"   , 0.203
"Jan 21, 2005"   , -0.029
"Jan 22, 2005"   , -0.268
"Jan 23, 2005"   , 0.167
"Jan 24, 2005"   , 0.085
"Jan 25, 2005"   , -0.072
"Jan 26, 2005"   , -0.114
"Jan 27, 2005"   , -0.251
"Jan 28, 2005"   , -0.276
"Jan 29, 2005"   , -0.227
"Jan 30, 2005"   , -0.294
"Jan 31, 2005"   , -0.254
"Feb 1, 2005"    , -0.264
"Feb 2, 2005"    , -0.145
"Feb 3, 2005"    , -0.247
"Feb 4, 2005"    , -0.27
"Feb 5, 2005"    , -0.126
"Feb 6, 2005"    , -0.07
"Feb 7, 2005"    , -0.06
"Feb 8, 2005"    , 0.185
"Feb 9, 2005"    , -0.033
"Feb 10, 2005"   , 0.19
"Feb 11, 2005"   , -0.079
"Feb 12, 2005"   , -0.219
"Feb 13, 2005"   , 0.1
"Feb 14, 2005"   , 0.144
"Feb 15, 2005"   , -0.261
"Feb 16, 2005"   , -0.283
"Feb 17, 2005"   , -0.226
"Feb 18, 2005"   , -0.265
"Feb 19, 2005"   , -0.276
"Feb 20, 2005"   , -0.294
"Feb 21, 2005"   , -0.301
"Feb 22, 2005"   , -0.236
"Feb 23, 2005"   , 0.035
"Feb 24, 2005"   , -0.136
"Feb 25, 2005"   , -0.101
"Feb 26, 2005"   , 0.086
"Feb 27, 2005"   , -0.018
"Feb 28, 2005"   , 0.185
"Mar 1, 2005"    , 0.094
"Mar 2, 2005"    , 0.212
"Mar 3, 2005"    , -0.076
"Mar 4, 2005"    , -0.118
"Mar 5, 2005"    , -0.264
"Mar 6, 2005"    , 0.167
"Mar 7, 2005"    , -0.164
"Mar 8, 2005"    , 0.282
"Mar 9, 2005"    , -0.196
"Mar 10, 2005"   , -0.304
"Mar 11, 2005"   , -0.263
"Mar 12, 2005"   , -0.296
"Mar 13, 2005"   , -0.308
"Mar 14, 2005"   , -0.056
"Mar 15, 2005"   , -0.243
"Mar 16, 2005"   , -0.211
"Mar 17, 2005"   , -0.125
"Mar 18, 2005"   , -0.266
"Mar 19, 2005"   , -0.213
"Mar 20, 2005"   , -0.146
"Mar 21, 2005"   , -0.275
"Mar 22, 2005"   , -0.31
"Mar 23, 2005"   , -0.316
"Mar 24, 2005"   , -0.294
"Mar 25, 2005"   , -0.251
"Mar 26, 2005"   , -0.285
"Mar 27, 2005"   , -0.293
