system:time_start,NDSI
"Jan 1, 2020",-0.105
"Jan 2, 2020",-0.096
"Jan 3, 2020",-0.22
"Jan 4, 2020",-0.313
"Jan 5, 2020",0.158
"Jan 6, 2020",0.239
"Jan 7, 2020",-0.191
"Jan 8, 2020",-0.316
"Jan 9, 2020",-0.316
"Jan 10, 2020",-0.034
"Jan 11, 2020",0.163
"Jan 12, 2020",0.297
"Jan 13, 2020",-0.15
"Jan 14, 2020",-0.197
"Jan 15, 2020",0.015
"Jan 16, 2020",-0.221
"Jan 17, 2020",-0.273
"Jan 18, 2020",-0.25
"Jan 19, 2020",-0.092
"Jan 20, 2020",0.007
"Jan 21, 2020",-0.253
"Jan 22, 2020",-0.24
"Jan 23, 2020",-0.281
"Jan 24, 2020",-0.246
"Jan 25, 2020",-0.252
"Jan 26, 2020",-0.232
"Jan 27, 2020",-0.11
"Jan 28, 2020",-0.271
"Jan 29, 2020",-0.307
"Jan 30, 2020",-0.318
"Jan 31, 2020",-0.304
"Feb 1, 2020",-0.317
"Feb 2, 2020",-0.273
"Feb 3, 2020",-0.259
"Feb 4, 2020",-0.285
"Feb 5, 2020",-0.301
"Feb 6, 2020",-0.321
"Feb 7, 2020",-0.319
"Feb 8, 2020",-0.327
"Feb 9, 2020",-0.196
"Feb 10, 2020",-0.289
"Feb 11, 2020",-0.117
"Feb 12, 2020",-0.16
"Feb 13, 2020",-0.3
"Feb 14, 2020",-0.327
"Feb 15, 2020",-0.345
"Feb 16, 2020",-0.325
"Feb 17, 2020",-0.341
"Feb 18, 2020",-0.309
"Feb 19, 2020",-0.29
"Feb 20, 2020",-0.275
"Feb 21, 2020",-0.212
"Feb 22, 2020",-0.303
"Feb 23, 2020",-0.327
"Feb 24, 2020",-0.329
"Feb 25, 2020",-0.286
"Feb 26, 2020",-0.171
"Feb 27, 2020",-0.232
"Feb 28, 2020",-0.286
"Feb 29, 2020",-0.313
"Mar 1, 2020",-0.317
"Mar 2, 2020",-0.33
"Mar 3, 2020",-0.313
"Mar 4, 2020",-0.276
"Mar 5, 2020",0.017
"Mar 6, 2020",-0.262
"Mar 7, 2020",-0.327
"Mar 8, 2020",-0.323
"Mar 9, 2020",-0.277
"Mar 10, 2020",-0.025
"Mar 11, 2020",-0.133
"Mar 12, 2020",-0.154
"Mar 13, 2020",-0.318
"Mar 14, 2020",-0.315
"Mar 15, 2020",-0.004
"Mar 16, 2020",-0.307
"Mar 17, 2020",-0.296
"Mar 18, 2020",-0.278
"Mar 19, 2020",-0.266
"Mar 20, 2020",-0.235
"Mar 21, 2020",-0.176
"Mar 22, 2020",0.196
"Mar 23, 2020",0.236
"Mar 24, 2020",-0.3
"Mar 25, 2020",-0.235
"Mar 26, 2020",0.141
"Mar 27, 2020",-0.257
"Mar 28, 2020",-0.304
"Mar 29, 2020",-0.205
"Mar 30, 2020",0.166
"Mar 31, 2020",-0.24
"Apr 1, 2020",-0.25
"Apr 2, 2020",-0.286
"Apr 3, 2020",-0.317
"Apr 4, 2020",-0.225
"Apr 5, 2020",-0.331
"Apr 6, 2020",-0.269
"Apr 7, 2020",-0.275
"Apr 8, 2020",-0.294
"Apr 9, 2020",-0.289
"Apr 10, 2020",-0.108
"Apr 11, 2020",-0.193
"Apr 12, 2020",-0.247
"Apr 13, 2020",-0.025
"Apr 14, 2020",-0.049
"Apr 15, 2020",-0.313
"Apr 16, 2020",0.136
"Apr 17, 2020",-0.132
"Apr 18, 2020",-0.287
"Apr 19, 2020",-0.24
"Apr 20, 2020",-0.28
"Apr 21, 2020",-0.264
"Apr 22, 2020",0.044
"Apr 23, 2020",-0.287
"Apr 24, 2020",-0.229
"Apr 25, 2020",-0.319
"Apr 26, 2020",-0.335
"Apr 27, 2020",-0.295
"Apr 28, 2020",-0.328
"Apr 29, 2020",-0.259
"Apr 30, 2020",-0.323
"May 1, 2020",-0.192
"May 2, 2020",-0.302
"May 3, 2020",-0.288
"May 4, 2020",-0.233
"May 5, 2020",-0.318
"May 6, 2020",-0.33
"May 7, 2020",-0.143
"May 8, 2020",-0.289
"May 9, 2020",-0.325
"May 10, 2020",-0.318
"May 11, 2020",-0.316
"May 12, 2020",-0.124
"May 13, 2020",-0.27
"May 14, 2020",-0.306
"May 15, 2020",-0.319
"May 16, 2020",-0.329
