system:time_start, NDVI
"Feb 18, 2000"   , 872.942
"Mar 5, 2000"    , 849.082
"Mar 21, 2000"   , 836.603
"Apr 6, 2000"    , 833.786
"Apr 22, 2000"   , 800.013
"May 8, 2000"    , 801.069
"May 24, 2000"   , 787.016
"Jun 9, 2000"    , 761.19
"Jun 25, 2000"   , 722.569
"Jul 11, 2000"   , 758.613
"Jul 27, 2000"   , 813.796
"Aug 12, 2000"   , 812.212
"Aug 28, 2000"   , 857.22
"Sep 13, 2000"   , 867.84
"Sep 29, 2000"   , 885.035
"Oct 15, 2000"   , 890.264
"Oct 31, 2000"   , 887.523
"Nov 16, 2000"   , 862.632
"Dec 2, 2000"    , 887.57
"Dec 18, 2000"   , 923.88
"Jan 1, 2001"    , 915.284
"Jan 17, 2001"   , 905.523
"Feb 2, 2001"    , 901.434
"Feb 18, 2001"   , 901.733
"Mar 6, 2001"    , 881.518
"Mar 22, 2001"   , 875.049
"Apr 7, 2001"    , 853.28
"Apr 23, 2001"   , 829.507
"May 9, 2001"    , 807.773
"May 25, 2001"   , 774.242
"Jun 10, 2001"   , 762.231
"Jun 26, 2001"   , 723.421
"Jul 12, 2001"   , 765.795
"Jul 28, 2001"   , 858.843
"Aug 13, 2001"   , 928.527
"Aug 29, 2001"   , 917.977
"Sep 14, 2001"   , 934.402
"Sep 30, 2001"   , 902.642
"Oct 16, 2001"   , 907.179
"Nov 1, 2001"    , 880.783
"Nov 17, 2001"   , 860.899
"Dec 3, 2001"    , 852.013
"Dec 19, 2001"   , 888.108
"Jan 1, 2002"    , 921.017
"Jan 17, 2002"   , 917.102
"Feb 2, 2002"    , 885.313
"Feb 18, 2002"   , 920.414
"Mar 6, 2002"    , 896.111
"Mar 22, 2002"   , 893.835
"Apr 7, 2002"    , 844.099
"Apr 23, 2002"   , 840.289
"May 9, 2002"    , 811.346
"May 25, 2002"   , 793.428
"Jun 10, 2002"   , 780.094
"Jun 26, 2002"   , 785.126
"Jul 12, 2002"   , 774.37
"Jul 28, 2002"   , 790.087
"Aug 13, 2002"   , 798.493
"Aug 29, 2002"   , 847.459
"Sep 14, 2002"   , 869.354
"Sep 30, 2002"   , 902.849
"Oct 16, 2002"   , 866.16
"Nov 1, 2002"    , 881.958
"Nov 17, 2002"   , 901.671
"Dec 3, 2002"    , 867.793
"Dec 19, 2002"   , 875.545
"Jan 1, 2003"    , 883.394
"Jan 17, 2003"   , 922.854
"Feb 2, 2003"    , 908.442
"Feb 18, 2003"   , 880.442
"Mar 6, 2003"    , 896.94
"Mar 22, 2003"   , 873.95
"Apr 7, 2003"    , 897.821
"Apr 23, 2003"   , 896.549
"May 9, 2003"    , 846.547
"May 25, 2003"   , 809.374
"Jun 10, 2003"   , 818.147
"Jun 26, 2003"   , 762.31
"Jul 12, 2003"   , 803.828
"Jul 28, 2003"   , 899.461
"Aug 13, 2003"   , 987.278
"Aug 29, 2003"   , "1,042.662"
"Sep 14, 2003"   , "1,026.136"
"Sep 30, 2003"   , "1,024.584"
"Oct 16, 2003"   , "1,011.229"
"Nov 1, 2003"    , 981.835
"Nov 17, 2003"   , 957.005
"Dec 3, 2003"    , 933.384
"Dec 19, 2003"   , 927.736
"Jan 1, 2004"    , 943.137
"Jan 17, 2004"   , 992.134
"Feb 2, 2004"    , 966.925
"Feb 18, 2004"   , 930.241
"Mar 5, 2004"    , 954.556
"Mar 21, 2004"   , 941.793
"Apr 6, 2004"    , 896.351
"Apr 22, 2004"   , 860.654
"May 8, 2004"    , 830.318
"May 24, 2004"   , 798.262
"Jun 9, 2004"    , 796.868
"Jun 25, 2004"   , 804.077
"Jul 11, 2004"   , 804.344
"Jul 27, 2004"   , 785.334
"Aug 12, 2004"   , 829.646
"Aug 28, 2004"   , 855.101
"Sep 13, 2004"   , 862.773
"Sep 29, 2004"   , 920.838
"Oct 15, 2004"   , 869.652
"Oct 31, 2004"   , 888.344
"Nov 16, 2004"   , 868.332
"Dec 2, 2004"    , 868.794
"Dec 18, 2004"   , 875.392
