Month, Year, Avg LST          , Avg NDSI            , Avg NDVI          , Avg Precipitation, Flood
Jan  , 2000, 37.12549070409625, -0.26093906201778866,  999.5640176667081,       0.464064516, No
Feb  , 2000, 34.81525         , -0.23725            ,  872.942          ,       0.38162069 , No
Mar  , 2000, 35.34264516      , -0.201548387        ,  842.8425         ,       0.305193548, No
Apr  , 2000, 46.6252963       , -0.219296296        ,  816.8995         ,       0.120066667, No
May  , 2000, 50.68413333      , -0.226433333        ,  794.0425         ,       0.156129032, No
Jun  , 2000, 47.45123333      , -0.218833333        ,  741.8795         ,       0.107433333, No
Jul  , 2000, 45.57941935      , -0.204322581        ,  786.2045         ,       0.525387097, No
Aug  , 2000, 45.13877778      , -0.186277778        ,  834.716          ,       0.234741935, No
Sep  , 2000, 45.53255172      , -0.233172414        ,  876.4375         ,       0.070766667, No
Oct  , 2000, 42.5863          , -0.256333333        ,  888.8935         ,       0.002225806, No
Nov  , 2000, 31.79157143      , -0.272033333        ,  862.632          ,       0.020533333, No
Dec  , 2000, 26.4986          , -0.277              ,  905.725          ,       0.305225806, No
Jan  , 2001, 24.85077419      , -0.307612903        ,  910.4035         ,       0.271516129, No
Feb  , 2001, 28.63262963      , -0.237296296        ,  901.5835         ,       0.627964286, No
Mar  , 2001, 36.49990323      , -0.252806452        ,  878.2835         ,       0.440258065, No
Apr  , 2001, 43.64756667      , -0.254333333        ,  841.3935         ,       0.663633333, No
May  , 2001, 49.04064516      , -0.273903226        ,  791.0075         ,       0.114419355, No
Jun  , 2001, 46.568           , -0.2485             ,  742.826          ,       0.285266667, No
Jul  , 2001, 39.25171429      , -0.172321429        ,  812.319          ,       1.290451613, No
Aug  , 2001, 43.60446667      , -0.247833333        ,  923.252          ,       0.286225806, No
Sep  , 2001, 43.99243333      , -0.282266667        ,  918.522          ,       0.0823     , No
Oct  , 2001, 40.7675          , -0.290033333        ,  907.179          ,       0.001290323, No
Nov  , 2001, 33.31406897      , -0.305172414        ,  870.841          ,       0.004633333, No
Dec  , 2001, 27.88622581      , -0.269806452        ,  870.0605         ,       0.231096774, No
Jan  , 2002, 24.29706452      , -0.286419355        ,  919.0595         ,       0.247741935, No
Feb  , 2002, 27.59803571      , -0.236285714        ,  902.8635         ,       0.467285714, No
Mar  , 2002, 34.16390909      , -0.216772727        ,  894.973          ,       0.413419355, No
Apr  , 2002, 42.28072414      , -0.243586207        ,  842.194          ,       0.3176     , No
May  , 2002, 48.94483871      , -0.281354839        ,  802.387          ,       0.074516129, No
Jun  , 2002, 48.56946667      , -0.2755             ,  782.61           ,       0.102433333, No
Jul  , 2002, 45.51670968      , -0.255612903        ,  782.2285         ,       0.158451613, No
Aug  , 2002, 43.96203226      , -0.23916129         ,  822.976          ,       0.204290323, No
Sep  , 2002, 42.98696667      , -0.286666667        ,  886.1015         ,       0.104066667, No
Oct  , 2002, 41.13974194      , -0.302741935        ,  866.16           ,       0.011483871, No
Nov  , 2002, 31.62026667      , -0.254033333        ,  891.8145         ,       0.1316     , No
Dec  , 2002, 24.52716129      , -0.257548387        ,  871.669          ,       0.363290323, No
Jan  , 2003, 24.52812903      , -0.228290323        ,  903.124          ,       0.527419355, No
Feb  , 2003, 27.34737037      , -0.186592593        ,  894.442          ,       0.807214286, No
Mar  , 2003, 33.1474          , -0.215566667        ,  885.445          ,       0.533548387, No
Apr  , 2003, 43.0466          , -0.267166667        ,  897.185          ,       0.268066667, No
May  , 2003, 44.43867742      , -0.26916129         ,  827.9605         ,       0.206516129, No
Jun  , 2003, 46.92063333      , -0.267233333        ,  790.2285         ,       0.121833333, No
Jul  , 2003, 39.93003226      , -0.146258065        ,  851.6445         ,       1.991451613, No
Aug  , 2003, 41.53477419      , -0.233741935        , 1014.97           ,       0.556806452, No
Sep  , 2003, 41.89693333      , -0.273766667        , 1025.36           ,       0.0796     , No
Oct  , 2003, 40.60370968      , -0.312096774        , 1011.229          ,       0.003290323, No
Nov  , 2003, 30.72603333      , -0.2871             ,  969.42           ,       0.033433333, No
Dec  , 2003, 24.65895652      , -0.258608696        ,  930.56           ,       0.12916129 , No
Jan  , 2004, 23.08216129      , -0.187451613        ,  967.6355         ,       0.827      , No
Feb  , 2004, 28.97753571      , -0.288035714        ,  948.583          ,       0.276586207, No
Mar  , 2004, 38.93441935      , -0.28216129         ,  948.1745         ,       0.265322581, No
Apr  , 2004, 42.9929          , -0.2482             ,  878.5025         ,       0.179433333, No
