Year,Month,Region,Avg LST,Avg NDSI,Avg NDVI,Avg Precipitation,Flood
2000,Jan,balochistan,37.1254907,-0.260939062,999.5640177,0.464064516,No
2000,Jan,gilgit,7.258430906,0.2158047161,1135.796833,0.837,No
2000,Jan,kpk,21.21103765,-0.09540230993,2462.950572,1.232,No
2000,Jan,punjab,30.84107562,-0.2432891723,3088.21946,0.59683871,No
2000,Jan,sindh,36.24378683,-0.2467901881,2092.039119,0.089,No
2000,Feb,balochistan,34.81525,-0.23725,872.942,0.38162069,No
2000,Feb,gilgit,-2.764,0.452,246.799,0.552,No
2000,Feb,kpk,18.563,0.034,1864.482,0.681,No
2000,Feb,punjab,28.48475,-0.2515,3880.296,0.40562069,No
2000,Feb,sindh,35.623,-0.2625,2120.808508,0.069482759,No
2000,Mar,balochistan,35.34264516,-0.201548387,842.8425,0.305193548,No
2000,Mar,gilgit,3.182,0.426,368.545,1.116,No
2000,Mar,kpk,18.879,0.087,1976.236,1.703,No
2000,Mar,punjab,30.56183871,-0.177645161,3717.0555,0.249612903,No
2000,Mar,sindh,38.32406452,-0.223451613,1808.5,0.036064516,No
2000,Apr,balochistan,46.6252963,-0.219296296,816.8995,0.120066667,No
2000,Apr,gilgit,12.543,0.387,626.659,0.521,No
2000,Apr,kpk,29.649,-0.014,2041.727,0.873,No
2000,Apr,punjab,40.47144444,-0.214925926,2325.6375,0.241,No
2000,Apr,sindh,46.01425926,-0.232148148,1422.47,0.024666667,No
2000,May,balochistan,50.68413333,-0.226433333,794.0425,0.156129032,No
2000,May,gilgit,19.558,0.196,1166.658,1.132,No
2000,May,kpk,33.938,-0.089,2053.476,0.923,No
2000,May,punjab,41.65126667,-0.208733333,1562.834,0.30083871,No
2000,May,sindh,44.20556667,-0.207666667,1295.45,0.019709677,No
2000,Jun,balochistan,47.45123333,-0.218833333,741.8795,0.107433333,No
2000,Jun,gilgit,21.014,0.112,1753.918,1.131,No
2000,Jun,kpk,32.489,-0.124,2312.757,1.259,No
2000,Jun,punjab,38.4788,-0.157666667,1585.8915,0.7955,No
2000,Jun,sindh,40.8049,-0.1594,1262.75,0.068033333,No
2000,Jul,balochistan,45.57941935,-0.204322581,786.2045,0.525387097,No
2000,Jul,gilgit,20.867,0.075,2098.979,1.383,No
2000,Jul,kpk,29.904,-0.088,2815.6,2.314,No
2000,Jul,punjab,35.32993333,-0.057645161,2609.762,3.159516129,No
2000,Jul,sindh,38.62583333,-0.094129032,1557.72,1.464709677,No
2000,Aug,balochistan,45.13877778,-0.186277778,834.716,0.234741935,No
2000,Aug,gilgit,21.553,0.029,1964.615,1.282,No
2000,Aug,kpk,30.095,-0.15,2973.137,1.784,No
2000,Aug,punjab,34.75022222,-0.169,3326.8065,1.686387097,No
2000,Aug,sindh,37.40866667,-0.101277778,2174.33,0.834419355,No
2000,Sep,balochistan,45.53255172,-0.233172414,876.4375,0.070766667,No
2000,Sep,gilgit,19.564,0.049,1580.416,1.37,No
2000,Sep,kpk,28.781,-0.161,2649.687,2.248,No
2000,Sep,punjab,35.89937931,-0.218724138,3218.3235,1.088733333,No
2000,Sep,sindh,39.69051724,-0.180724138,2293.07,0.014933333,No
2000,Oct,balochistan,42.5863,-0.256333333,888.8935,0.002225806,No
2000,Oct,gilgit,14.286,0.099,1178.388,0.272,No
2000,Oct,kpk,27.529,-0.169,2233.566,0.446,No
2000,Oct,punjab,36.9115,-0.2714,2605.0945,0.038903226,No
2000,Oct,sindh,42.5977,-0.234966667,2109.86,0.0,No
2000,Nov,balochistan,31.79157143,-0.272033333,862.632,0.020533333,No
2000,Nov,gilgit,3.99,0.223,783.341,0.222,No
2000,Nov,kpk,19.213,-0.086,1974.229,0.242,No
2000,Nov,punjab,30.02559259,-0.255166667,2380.254,0.029166667,No
2000,Nov,sindh,35.4089,-0.285833333,1721.37,0.001666667,No
2000,Dec,balochistan,26.4986,-0.277,905.725,0.305225806,No
2000,Dec,gilgit,-6.053,0.374,472.532,0.465,No
2000,Dec,kpk,9.784,-0.007,1812.144,0.779,No
2000,Dec,punjab,24.36554839,-0.252451613,2397.6755,0.214225806,No
2000,Dec,sindh,30.73706667,-0.289933333,1732.78,0.022645161,No
2001,Jan,balochistan,24.85077419,-0.307612903,910.4035,0.271516129,No
2001,Jan,gilgit,-4.522,0.367,433.517,0.414,No
2001,Jan,kpk,10.139,-0.044,1825.099,0.416,No
2001,Jan,punjab,21.96083871,-0.202774194,3042.0175,0.225387097,No
2001,Jan,sindh,29.31596774,-0.293774194,1843.02,0.045129032,No
2001,Feb,balochistan,28.63262963,-0.237296296,901.5835,0.627964286,No
2001,Feb,gilgit,0.329,0.352,529.379,0.569,No
2001,Feb,kpk,15.657,-0.023,1809.838,0.506,No
2001,Feb,punjab,26.26534615,-0.265384615,3573.384,0.268464286,No
2001,Feb,sindh,33.35765385,-0.272692308,1904.03,0.078142857,No
