Month,Year,Avg LST,Avg NDSI,Avg NDVI,Avg Precipitation,Floods
Jan,2000,21.211037652716453,-0.09540230992530208,2462.950571848592,1.232,No
Feb,2000,18.563,0.034,1864.482,0.681,No
Mar,2000,18.879,0.087,1976.236,1.703,No
Apr,2000,29.649,-0.014,2041.727,0.873,No
May,2000,33.938,-0.089,2053.476,0.923,No
Jun,2000,32.489,-0.124,2312.757,1.259,No
Jul,2000,29.904,-0.088,2815.6,2.314,No
Aug,2000,30.095,-0.15,2973.137,1.784,No
Sep,2000,28.781,-0.161,2649.687,2.248,No
Oct,2000,27.529,-0.169,2233.566,0.446,No
Nov,2000,19.213,-0.086,1974.229,0.242,No
Dec,2000,9.784,-0.007,1812.144,0.779,No
Jan,2001,10.139,-0.044,1825.099,0.416,No
Feb,2001,15.657,-0.023,1809.838,0.506,No
Mar,2001,22.134,0.004,1852.574,1.554,No
Apr,2001,27.728,-0.018,1942.647,2.003,No
May,2001,33.856,-0.163,2020.28,0.666,No
Jun,2001,32.54,-0.162,2243.623,1.994,No
Jul,2001,28.129,-0.126,2935.648,3.279,No
Aug,2001,28.879,-0.18,2985.363,2.183,No
Sep,2001,28.231,-0.213,2489.347,1.515,No
Oct,2001,26.033,-0.224,2138.327,0.348,No
Nov,2001,19.372,-0.097,1873.461,0.412,No
Dec,2001,10.998,-0.039,1811.318,0.379,No
Jan,2002,9.014,-0.011,1743.955,0.511,No
Feb,2002,11.122,0.123,1822.47,1.827,No
Mar,2002,17.773,0.056,2057.253,1.52,No
Apr,2002,26.903,-0.003,2079.27,1.977,No
May,2002,33.948,-0.093,2052.246,0.582,No
Jun,2002,33.209,-0.166,2274.287,2.019,No
Jul,2002,31.374,-0.205,2579.289,1.022,No
Aug,2002,27.715,-0.114,2966.284,2.985,No
Sep,2002,27.454,-0.197,2827.278,1.813,No
Oct,2002,24.654,-0.242,2387.231,0.477,No
Nov,2002,17.19,-0.089,2152.266,0.554,No
Dec,2002,10.432,0.022,1771.233,0.939,No
Jan,2003,8.181,0.029,1813.066,0.938,No
Feb,2003,10.255,0.11,1800.666,3.001,No
Mar,2003,16.383,0.092,2018.068,2.502,No
Apr,2003,26.093,0.024,2217.323,2.465,No
May,2003,31.623,-0.048,2169.244,1.166,No
Jun,2003,32.828,-0.141,2335.899,1.166,No
Jul,2003,28.312,-0.126,2988.962,2.529,No
Aug,2003,27.563,-0.167,3290.885,2.641,No
Sep,2003,27.377,-0.141,2807.457,1.899,No
Oct,2003,24.755,-0.207,2421.455,0.394,No
Nov,2003,16.56,-0.056,2131.765,0.623,No
Dec,2003,11.457,-0.018,1843.621,0.589,No
