Month,Year,Avg LST,Avg NDSI,Avg NDVI,Avg Precipitation,Flood
Jan,2000,30.84107561561201,-0.24328917231213237,3088.2194601175215,0.59683871,No
Feb,2000,28.48475,-0.2515,3880.296,0.40562069,No
Mar,2000,30.56183871,-0.177645161,3717.0555,0.249612903,No
Apr,2000,40.47144444,-0.214925926,2325.6375,0.241,No
May,2000,41.65126667,-0.208733333,1562.834,0.30083871,No
Jun,2000,38.4788,-0.157666667,1585.8915,0.7955,No
Jul,2000,35.32993333,-0.057645161,2609.762,3.159516129,No
Aug,2000,34.75022222,-0.169,3326.8065,1.686387097,No
Sep,2000,35.89937931,-0.218724138,3218.3235,1.088733333,No
Oct,2000,36.9115,-0.2714,2605.0945,0.038903226,No
Nov,2000,30.02559259,-0.255166667,2380.254,0.029166667,No
Dec,2000,24.36554839,-0.252451613,2397.6755,0.214225806,No
Jan,2001,21.96083871,-0.202774194,3042.0175,0.225387097,No
Feb,2001,26.26534615,-0.265384615,3573.384,0.268464286,No
Mar,2001,32.01222581,-0.272032258,3564.974,0.420290323,No
Apr,2001,37.79613333,-0.208733333,2250.373,0.5794,No
May,2001,41.2273871,-0.262774194,1532.3915,0.398870968,No
Jun,2001,37.13264286,-0.188714286,2012.7165,1.8304,No
Jul,2001,33.85596429,-0.09025,2831.6315,4.150483871,Yes
Aug,2001,34.25713333,-0.204733333,3483.0565,1.729,No
Sep,2001,35.08853333,-0.281666667,3355.639,1.035033333,No
Oct,2001,34.5929,-0.292166667,2772.848,0.034806452,No
Nov,2001,29.65358621,-0.31537931,2503.356,0.023166667,No
Dec,2001,23.56690323,-0.237806452,2516.401,0.186806452,No
Jan,2002,21.45716129,-0.243354839,3158.041,0.215064516,No
Feb,2002,24.68553571,-0.215071429,3665.0135,0.440642857,No
Mar,2002,30.42454545,-0.229454545,3670.0055,0.427,No
Apr,2002,38.84175862,-0.197413793,2192.505,0.368766667,No
May,2002,44.90719355,-0.273645161,1558.0575,0.358483871,No
Jun,2002,39.19953333,-0.221033333,1757.705,0.809066667,No
Jul,2002,35.3943871,-0.198870968,2120.9915,0.920645161,No
Aug,2002,35.11746667,-0.167258065,3056.2605,2.137774194,No
Sep,2002,34.58333333,-0.247166667,3338.983,1.4771,No
Oct,2002,34.15409677,-0.294870968,2734.904,0.124064516,No
Nov,2002,28.37023333,-0.234133333,2616.571,0.103866667,No
Dec,2002,22.55409677,-0.224483871,2541.046,0.238096774,No
Jan,2003,21.10209677,-0.125612903,3082.5535,0.417870968,No
Feb,2003,22.27525926,-0.173925926,3984.4625,1.520607143,No
Mar,2003,27.82046667,-0.180066667,3806.8895,0.673096774,No
Apr,2003,37.83010345,-0.256068966,2300.3495,0.456933333,No
May,2003,42.03245161,-0.255806452,1715.89,0.265516129,No
Jun,2003,40.6358,-0.218733333,1780.055,0.874733333,No
Jul,2003,34.851,-0.107322581,2991.6535,3.228516129,No
Aug,2003,33.23270968,-0.183258065,3767.2525,2.795322581,No
