system:time_start,LST_Day_1km
"Jan 1, 2022",-4.053
"Jan 2, 2022",-0.156
"Jan 3, 2022",-18.135
"Jan 4, 2022",-16.871
"Jan 5, 2022",-3.029
"Jan 6, 2022",-12.293
"Jan 7, 2022",-8.168
"Jan 8, 2022",-13.002
"Jan 9, 2022",-3.587
"Jan 10, 2022",-6.272
"Jan 11, 2022",-11.729
"Jan 12, 2022",-10.852
"Jan 13, 2022",-10.42
"Jan 14, 2022",-9.065
"Jan 15, 2022",-10.84
"Jan 16, 2022",-11.411
"Jan 17, 2022",-10.947
"Jan 18, 2022",-5.989
"Jan 19, 2022",-15.198
"Jan 20, 2022",-8.985
"Jan 21, 2022",-12.561
"Jan 22, 2022",-19.341
"Jan 23, 2022",-17.774
"Jan 24, 2022",-11.972
"Jan 25, 2022",-13.226
"Jan 26, 2022",-11.374
"Jan 27, 2022",-10.988
"Jan 28, 2022",-7.207
"Jan 29, 2022",-3.174
"Jan 30, 2022",-5.719
"Jan 31, 2022",-9.223
"Feb 1, 2022",-7.676
"Feb 2, 2022",-11.797
"Feb 3, 2022",-13.581
"Feb 4, 2022",-10.075
"Feb 5, 2022",-9.332
"Feb 6, 2022",-0.036
"Feb 7, 2022",-7.883
"Feb 8, 2022",-4.136
"Feb 9, 2022",-1.116
"Feb 10, 2022",-4.699
"Feb 11, 2022",-3.853
"Feb 12, 2022",-4.842
"Feb 13, 2022",2.69
"Feb 14, 2022",-4.924
"Feb 15, 2022",3.164
"Feb 16, 2022",0.267
"Feb 17, 2022",-1.59
"Feb 18, 2022",-1.046
"Feb 19, 2022",-2.497
"Feb 20, 2022",-2.205
"Feb 21, 2022",-3.578
"Feb 22, 2022",6.521
"Feb 23, 2022",-1.777
"Feb 24, 2022",-2.979
"Feb 25, 2022",-8.154
"Feb 26, 2022",0.315
"Feb 27, 2022",-3.244
"Feb 28, 2022",-6.346
"Mar 1, 2022",-0.747
"Mar 2, 2022",-0.937
"Mar 3, 2022",0.023
"Mar 4, 2022",1.393
"Mar 5, 2022",-2.804
"Mar 6, 2022",6.152
"Mar 7, 2022",6.427
"Mar 8, 2022",4.345
"Mar 9, 2022",3.467
"Mar 10, 2022",3.132
"Mar 11, 2022",4.932
"Mar 12, 2022",6.596
"Mar 13, 2022",8.462
"Mar 14, 2022",8.85
"Mar 15, 2022",12.712
"Mar 16, 2022",9.158
"Mar 17, 2022",9.141
"Mar 18, 2022",11.474
"Mar 19, 2022",13.004
"Mar 20, 2022",12.64
"Mar 21, 2022",8.488
"Mar 22, 2022",10.86
"Mar 23, 2022",10.449
"Mar 24, 2022",9.831
"Mar 25, 2022",8.792
"Mar 26, 2022",7.137
"Mar 27, 2022",12.654
"Mar 28, 2022",14.377
"Mar 29, 2022",14.809
"Mar 30, 2022",11.512
"Mar 31, 2022",13.777
"Apr 1, 2022",12.762
"Apr 2, 2022",13.181
"Apr 3, 2022",15.113
"Apr 4, 2022",11.238
"Apr 5, 2022",15.307
"Apr 6, 2022",13.292
"Apr 7, 2022",17.473
"Apr 8, 2022",15.946
"Apr 9, 2022",18.838
"Apr 10, 2022",15.373
"Apr 11, 2022",12.37
"Apr 12, 2022",12.87
"Apr 13, 2022",18.881
"Apr 14, 2022",14.415
"Apr 15, 2022",12.436
"Apr 16, 2022",14.426
"Apr 17, 2022",14.782
"Apr 18, 2022",14.929
"Apr 19, 2022",17.091
"Apr 20, 2022",16.034
"Apr 21, 2022",15.676
"Apr 22, 2022",16.078
"Apr 23, 2022",16.482
"Apr 24, 2022",14.856
"Apr 25, 2022",17.362
"Apr 26, 2022",15.469
"Apr 27, 2022",16.881
"Apr 28, 2022",20.882
"Apr 29, 2022",15.925
"Apr 30, 2022",20.544
"May 1, 2022",17.336
"May 2, 2022",21.419
"May 3, 2022",18.599
"May 4, 2022",14.894
"May 5, 2022",19.522
"May 6, 2022",16.05
"May 7, 2022",21.436
"May 8, 2022",20.037
"May 9, 2022",20.662
"May 10, 2022",20.045
"May 11, 2022",20.867
"May 12, 2022",23.072
"May 13, 2022",19.893
"May 14, 2022",25.746
"May 15, 2022",23.2
"May 16, 2022",21.58
"May 17, 2022",19.805
"May 18, 2022",20.323
"May 19, 2022",21.476
"May 20, 2022",16.963
"May 21, 2022",21.694
"May 22, 2022",19.39
"May 23, 2022",14.351
"May 24, 2022",16.072
"May 25, 2022",20.179
"May 26, 2022",18.181
"May 27, 2022",17.586
"May 28, 2022",22.359
"May 29, 2022",20.278
"May 30, 2022",21.265
"May 31, 2022",21.12
"Jun 1, 2022",22.957
"Jun 2, 2022",21.817
"Jun 3, 2022",20.204
"Jun 4, 2022",23.07
"Jun 5, 2022",19.946
"Jun 6, 2022",25.032
"Jun 7, 2022",21.044
"Jun 8, 2022",24.402
"Jun 9, 2022",21.785
"Jun 10, 2022",22.218
"Jun 11, 2022",23.628
"Jun 12, 2022",19.96
"Jun 13, 2022",24.046
"Jun 14, 2022",21.184
"Jun 15, 2022",26.517
"Jun 16, 2022",20.467
"Jun 17, 2022",18.851
"Jun 18, 2022",17.616
"Jun 19, 2022",20.816
"Jun 20, 2022",19.592
"Jun 21, 2022",20.234
"Jun 22, 2022",19.402
"Jun 23, 2022",15.716
"Jun 24, 2022",22.362
"Jun 25, 2022",22.259
"Jun 26, 2022",26.315
"Jun 27, 2022",26.19
"Jun 28, 2022",25.566
"Jun 29, 2022",28.58
"Jun 30, 2022",22.973
"Jul 1, 2022",28.821
"Jul 2, 2022",24.763
"Jul 3, 2022",30.081
"Jul 4, 2022",25.956
"Jul 5, 2022",24.573
"Jul 6, 2022",25.51
"Jul 7, 2022",25.868
"Jul 8, 2022",25.486
"Jul 9, 2022",24.726
"Jul 10, 2022",26.04
"Jul 11, 2022",23.559
"Jul 12, 2022",24.906
"Jul 13, 2022",23.234
"Jul 14, 2022",23.916
"Jul 15, 2022",22.483
"Jul 16, 2022",21.893
"Jul 17, 2022",21.713
"Jul 18, 2022",22.003
"Jul 19, 2022",27.281
"Jul 20, 2022",22.947
"Jul 21, 2022",20.527
"Jul 22, 2022",25.549
"Jul 23, 2022",21.245
"Jul 24, 2022",26.638
"Jul 25, 2022",24.073
"Jul 26, 2022",21.899
"Jul 27, 2022",20.007
"Jul 28, 2022",23.181
"Jul 29, 2022",19.109
"Jul 30, 2022",15.987
"Jul 31, 2022",21.241
"Aug 1, 2022",15.572
"Aug 2, 2022",22.348
"Aug 3, 2022",20.915
"Aug 4, 2022",22.764
"Aug 5, 2022",20.84
"Aug 6, 2022",18.795
"Aug 7, 2022",23.103
"Aug 8, 2022",19.674
"Aug 9, 2022",23.762
"Aug 10, 2022",19.801
"Aug 11, 2022",23.963
"Aug 12, 2022",19.865
"Aug 13, 2022",23.817
"Aug 14, 2022",22.512
"Aug 15, 2022",19.018
"Aug 16, 2022",21.177
"Aug 17, 2022",12.549
"Aug 18, 2022",23.029
"Aug 19, 2022",19.966
"Aug 20, 2022",21.836
"Aug 21, 2022",21.953
"Aug 22, 2022",25.752
"Aug 23, 2022",23.99
"Aug 24, 2022",18.21
"Aug 25, 2022",21.2
"Aug 26, 2022",22.343
"Aug 27, 2022",24.711
"Aug 28, 2022",20.791
"Aug 29, 2022",20.854
"Aug 30, 2022",20.571
"Aug 31, 2022",20.925
"Sep 1, 2022",23.029
"Sep 2, 2022",18.999
"Sep 3, 2022",23.282
"Sep 4, 2022",18.267
"Sep 5, 2022",20.246
"Sep 6, 2022",20.01
"Sep 7, 2022",22.299
"Sep 8, 2022",22.371
"Sep 9, 2022",20.319
"Sep 10, 2022",21.94
"Sep 11, 2022",16.602
"Sep 12, 2022",21.992
"Sep 13, 2022",20.328
"Sep 14, 2022",21.441
"Sep 15, 2022",19.753
"Sep 16, 2022",20.295
"Sep 17, 2022",20.356
"Sep 18, 2022",17.37
"Sep 19, 2022",22.28
"Sep 20, 2022",18.277
"Sep 21, 2022",20.716
"Sep 22, 2022",18.82
"Sep 23, 2022",19.856
"Sep 24, 2022",18.959
"Sep 25, 2022",19.912
"Sep 26, 2022",16.022
"Sep 27, 2022",13.934
"Sep 28, 2022",18.001
"Sep 29, 2022",15.337
"Sep 30, 2022",18.608
"Oct 1, 2022",16.525
"Oct 2, 2022",15.319
"Oct 3, 2022",17.648
"Oct 4, 2022",15.647
"Oct 5, 2022",18.245
"Oct 6, 2022",15.541
"Oct 7, 2022",17.46
"Oct 8, 2022",14.653
"Oct 9, 2022",17.148
"Oct 10, 2022",15.051
"Oct 23, 2022",
"Oct 24, 2022",9.065
"Oct 25, 2022",8.37
"Oct 26, 2022",11.248
"Oct 27, 2022",9.066
"Oct 28, 2022",11.168
"Oct 29, 2022",9.263
"Oct 30, 2022",10.442
"Oct 31, 2022",10.487
"Nov 1, 2022",7.349
"Nov 2, 2022",7.549
"Nov 3, 2022",5.505
"Nov 4, 2022",7.92
"Nov 5, 2022",5.17
"Nov 6, 2022",4.41
"Nov 7, 2022",0.879
"Nov 8, 2022",0.508
"Nov 9, 2022",2.917
"Nov 10, 2022",0.052
"Nov 11, 2022",0.753
"Nov 12, 2022",-0.828
"Nov 13, 2022",3.12
"Nov 14, 2022",2.17
"Nov 15, 2022",-4.831
"Nov 16, 2022",-3.684
"Nov 17, 2022",-2.079
"Nov 18, 2022",0.694
"Nov 19, 2022",-6.855
"Nov 20, 2022",-0.136
"Nov 21, 2022",-0.575
"Nov 22, 2022",-2.46
"Nov 23, 2022",0.213
"Nov 24, 2022",-0.076
"Nov 25, 2022",0.752
"Nov 26, 2022",3.347
"Nov 27, 2022",-0.24
"Nov 28, 2022",1.972
"Nov 29, 2022",2.236
"Nov 30, 2022",0.979
"Dec 1, 2022",1.448
"Dec 2, 2022",0.407
"Dec 3, 2022",4.346
"Dec 4, 2022",-0.537
"Dec 5, 2022",3.398
"Dec 6, 2022",4.08
"Dec 7, 2022",0.661
"Dec 8, 2022",0.953
"Dec 9, 2022",0.648
"Dec 10, 2022",-2.724
"Dec 11, 2022",0.819
"Dec 12, 2022",5.034
"Dec 13, 2022",-1.24
"Dec 14, 2022",-3.262
"Dec 15, 2022",-0.662
"Dec 16, 2022",-1.358
"Dec 17, 2022",0.066
"Dec 18, 2022",-0.594
"Dec 19, 2022",0.042
"Dec 20, 2022",-2.406
"Dec 21, 2022",-5.181
"Dec 22, 2022",-2.703
"Dec 23, 2022",-3.376
"Dec 24, 2022",-5.08
"Dec 25, 2022",-8.153
"Dec 26, 2022",-3.84
"Dec 27, 2022",-4.388
"Dec 28, 2022",-6.615
"Dec 29, 2022",-8.698
"Dec 30, 2022",-5.219
"Dec 31, 2022",-8.801
"Jan 1, 2023",-12.129
"Jan 2, 2023",-7.051
"Jan 3, 2023",-7.777
"Jan 4, 2023",-8.713
"Jan 5, 2023",-4.735
"Jan 6, 2023",-7.75
"Jan 7, 2023",0.601
"Jan 8, 2023",-2.844
"Jan 9, 2023",-6.481
"Jan 10, 2023",-4.254
"Jan 11, 2023",-11.223
"Jan 12, 2023",-8.055
"Jan 13, 2023",-9.702
"Jan 14, 2023",-9.225
"Jan 15, 2023",-7.996
"Jan 16, 2023",-9.219
"Jan 17, 2023",-7.495
"Jan 18, 2023",-14.4
"Jan 19, 2023",-7.728
"Jan 20, 2023",-14.708
"Jan 21, 2023",-11.068
"Jan 22, 2023",-10.437
"Jan 23, 2023",-6.087
"Jan 24, 2023",-3.846
"Jan 25, 2023",-13.707
"Jan 26, 2023",-8.231
"Jan 27, 2023",-5.461
"Jan 28, 2023",-4.483
