system:time_start,NDSI
"Jan 1, 2022",0.294
"Jan 2, 2022",0.292
"Jan 3, 2022",0.346
"Jan 4, 2022",0.46
"Jan 5, 2022",0.374
"Jan 6, 2022",0.409
"Jan 7, 2022",0.402
"Jan 8, 2022",0.444
"Jan 9, 2022",0.404
"Jan 10, 2022",0.359
"Jan 11, 2022",0.535
"Jan 12, 2022",0.462
"Jan 13, 2022",0.465
"Jan 14, 2022",0.404
"Jan 15, 2022",0.506
"Jan 16, 2022",0.457
"Jan 17, 2022",0.468
"Jan 18, 2022",0.385
"Jan 19, 2022",0.367
"Jan 20, 2022",0.413
"Jan 21, 2022",0.356
"Jan 22, 2022",0.538
"Jan 23, 2022",0.425
"Jan 24, 2022",0.423
"Jan 25, 2022",0.45
"Jan 26, 2022",0.411
"Jan 27, 2022",0.488
"Jan 28, 2022",0.408
"Jan 29, 2022",0.378
"Jan 30, 2022",0.334
"Jan 31, 2022",0.433
"Feb 1, 2022",0.392
"Feb 2, 2022",0.44
"Feb 3, 2022",0.536
"Feb 4, 2022",0.429
"Feb 5, 2022",0.5
"Feb 6, 2022",0.364
"Feb 7, 2022",0.406
"Feb 8, 2022",0.382
"Feb 9, 2022",0.349
"Feb 10, 2022",0.396
"Feb 11, 2022",0.413
"Feb 12, 2022",0.457
"Feb 13, 2022",0.335
"Feb 14, 2022",0.471
"Feb 15, 2022",0.272
"Feb 16, 2022",0.337
"Feb 17, 2022",0.353
"Feb 18, 2022",0.394
"Feb 19, 2022",0.38
"Feb 20, 2022",0.333
"Feb 21, 2022",0.411
"Feb 22, 2022",0.408
"Feb 23, 2022",0.48
"Feb 24, 2022",0.432
"Feb 25, 2022",0.49
"Feb 26, 2022",0.395
"Feb 27, 2022",0.414
"Feb 28, 2022",0.506
"Mar 1, 2022",0.411
"Mar 2, 2022",0.419
"Mar 3, 2022",0.454
"Mar 4, 2022",0.351
"Mar 5, 2022",0.465
"Mar 6, 2022",0.433
"Mar 7, 2022",0.463
"Mar 8, 2022",0.364
"Mar 9, 2022",0.415
"Mar 10, 2022",0.366
"Mar 11, 2022",0.396
"Mar 12, 2022",0.372
"Mar 13, 2022",0.377
"Mar 14, 2022",0.34
"Mar 15, 2022",0.21
"Mar 16, 2022",0.331
"Mar 17, 2022",0.332
"Mar 18, 2022",0.298
"Mar 19, 2022",0.248
"Mar 20, 2022",0.318
"Mar 21, 2022",0.266
"Mar 22, 2022",0.266
"Mar 23, 2022",0.282
"Mar 24, 2022",0.265
"Mar 25, 2022",0.258
"Mar 26, 2022",0.268
"Mar 27, 2022",0.235
"Mar 28, 2022",0.196
"Mar 29, 2022",0.217
"Mar 30, 2022",0.241
"Mar 31, 2022",0.2
"Apr 1, 2022",0.227
"Apr 2, 2022",0.222
"Apr 3, 2022",0.221
"Apr 4, 2022",0.181
"Apr 5, 2022",0.187
"Apr 6, 2022",0.198
"Apr 7, 2022",0.17
"Apr 8, 2022",0.177
"Apr 9, 2022",0.211
"Apr 10, 2022",0.138
"Apr 11, 2022",0.18
"Apr 12, 2022",0.297
"Apr 13, 2022",0.247
"Apr 14, 2022",0.256
"Apr 15, 2022",0.197
"Apr 16, 2022",0.185
"Apr 17, 2022",0.154
"Apr 18, 2022",0.143
"Apr 19, 2022",0.2
"Apr 20, 2022",0.202
"Apr 21, 2022",0.375
"Apr 22, 2022",0.294
"Apr 23, 2022",0.199
"Apr 24, 2022",0.155
"Apr 25, 2022",0.251
"Apr 26, 2022",0.113
"Apr 27, 2022",0.104
"Apr 28, 2022",0.046
"Apr 29, 2022",0.141
"Apr 30, 2022",0.071
"May 1, 2022",0.101
"May 2, 2022",0.049
"May 3, 2022",0.381
"May 4, 2022",0.309
"May 5, 2022",0.04
"May 6, 2022",0.153
"May 7, 2022",0.057
"May 8, 2022",0.087
"May 9, 2022",0.043
"May 10, 2022",0.02
"May 11, 2022",-0.001
"May 12, 2022",-0.02
"May 13, 2022",-0.007
"May 14, 2022",-0.038
"May 15, 2022",0.114
"May 16, 2022",0.107
"May 17, 2022",0.088
"May 18, 2022",0.033
"May 19, 2022",0.061
"May 20, 2022",0.285
"May 21, 2022",0.149
"May 22, 2022",0.141
"May 23, 2022",0.223
"May 24, 2022",0.202
"May 25, 2022",-0.005
"May 26, 2022",0.06
"May 27, 2022",0.017
"May 28, 2022",0.127
"May 29, 2022",0.044
"May 30, 2022",0.113
"May 31, 2022",0.053
"Jun 1, 2022",0.082
"Jun 2, 2022",0.044
"Jun 3, 2022",-0.024
"Jun 4, 2022",-0.036
"Jun 5, 2022",-0.015
"Jun 6, 2022",-0.081
"Jun 7, 2022",0.036
"Jun 8, 2022",-0.008
"Jun 9, 2022",0.009
"Jun 10, 2022",-0.047
"Jun 11, 2022",-0.04
"Jun 12, 2022",0.085
"Jun 13, 2022",-0.035
"Jun 14, 2022",-0.084
"Jun 15, 2022",-0.125
"Jun 16, 2022",0.05
"Jun 17, 2022",0.154
"Jun 18, 2022",0.314
"Jun 19, 2022",0.177
"Jun 20, 2022",0.309
"Jun 21, 2022",0.379
"Jun 22, 2022",0.302
"Jun 23, 2022",0.073
"Jun 24, 2022",-0.039
"Jun 25, 2022",-0.056
"Jun 26, 2022",-0.1
"Jun 27, 2022",-0.099
"Jun 28, 2022",-0.1
"Jun 29, 2022",-0.117
"Jun 30, 2022",-0.033
"Jul 1, 2022",-0.008
"Jul 2, 2022",-0.036
"Jul 3, 2022",-0.047
"Jul 4, 2022",-0.066
"Jul 5, 2022",0.183
"Jul 6, 2022",0.073
"Jul 7, 2022",0.02
"Jul 8, 2022",-0.013
"Jul 9, 2022",0.252
"Jul 10, 2022",-0.006
"Jul 11, 2022",0.035
"Jul 12, 2022",-0.1
"Jul 13, 2022",0.168
"Jul 14, 2022",0.14
"Jul 15, 2022",0.113
"Jul 16, 2022",0.122
"Jul 17, 2022",-0.034
"Jul 18, 2022",-0.151
"Jul 19, 2022",-0.136
"Jul 20, 2022",0
"Jul 21, 2022",0.123
"Jul 22, 2022",-0.065
"Jul 23, 2022",0.14
"Jul 24, 2022",-0.018
"Jul 25, 2022",0.161
"Jul 26, 2022",0.009
"Jul 27, 2022",0.103
"Jul 28, 2022",0.176
"Jul 29, 2022",0.182
"Jul 30, 2022",0.056
"Jul 31, 2022",0.206
"Aug 1, 2022",0.218
"Aug 2, 2022",-0.154
"Aug 3, 2022",-0.083
"Aug 4, 2022",-0.106
"Aug 5, 2022",0.015
"Aug 6, 2022",0.037
"Aug 7, 2022",-0.125
"Aug 8, 2022",-0.007
"Aug 9, 2022",-0.104
"Aug 10, 2022",-0.128
"Aug 11, 2022",0.163
"Aug 12, 2022",0.098
"Aug 13, 2022",-0.18
"Aug 14, 2022",-0.141
"Aug 15, 2022",0.24
"Aug 16, 2022",0.146
"Aug 17, 2022",0.147
"Aug 18, 2022",-0.067
"Aug 19, 2022",-0.143
"Aug 20, 2022",0.021
"Aug 21, 2022",-0.113
"Aug 22, 2022",-0.081
"Aug 23, 2022",-0.06
"Aug 24, 2022",0.152
"Aug 25, 2022",0.145
"Aug 26, 2022",0.066
"Aug 27, 2022",-0.115
"Aug 28, 2022",-0.043
"Aug 29, 2022",-0.068
"Aug 30, 2022",-0.171
"Aug 31, 2022",-0.169
"Sep 1, 2022",-0.183
"Sep 2, 2022",-0.114
"Sep 3, 2022",-0.182
"Sep 4, 2022",-0.032
"Sep 5, 2022",0.076
"Sep 6, 2022",-0.134
"Sep 7, 2022",-0.199
"Sep 8, 2022",-0.186
"Sep 9, 2022",-0.134
"Sep 10, 2022",-0.051
"Sep 11, 2022",0.151
"Sep 12, 2022",-0.129
"Sep 13, 2022",-0.166
"Sep 14, 2022",-0.135
"Sep 15, 2022",-0.171
"Sep 16, 2022",-0.168
"Sep 17, 2022",0.15
"Sep 18, 2022",-0.189
"Sep 19, 2022",-0.227
"Sep 20, 2022",-0.103
"Sep 21, 2022",0.039
"Sep 22, 2022",-0.125
"Sep 23, 2022",-0.196
"Sep 24, 2022",-0.058
"Sep 25, 2022",0.28
"Sep 26, 2022",-0.013
"Sep 27, 2022",-0.096
"Sep 28, 2022",-0.066
"Sep 29, 2022",-0.089
"Sep 30, 2022",-0.175
"Oct 1, 2022",-0.022
"Oct 2, 2022",-0.057
"Oct 3, 2022",-0.103
"Oct 4, 2022",-0.138
"Oct 5, 2022",-0.163
"Oct 6, 2022",-0.045
"Oct 7, 2022",-0.135
"Oct 8, 2022",-0.144
"Oct 9, 2022",-0.177
"Oct 10, 2022",0.001
"Oct 23, 2022",
"Oct 24, 2022",0.051
"Oct 25, 2022",-0.011
"Oct 26, 2022",-0.017
"Oct 27, 2022",-0.004
"Oct 28, 2022",-0.047
"Oct 29, 2022",-0.038
"Oct 30, 2022",-0.1
"Oct 31, 2022",0.146
"Nov 1, 2022",0.236
"Nov 2, 2022",0.213
"Nov 3, 2022",0.129
"Nov 4, 2022",0.111
"Nov 5, 2022",0.28
"Nov 6, 2022",0.234
"Nov 7, 2022",0.367
"Nov 8, 2022",0.193
"Nov 9, 2022",0.318
"Nov 10, 2022",0.288
"Nov 11, 2022",0.227
"Nov 12, 2022",0.243
"Nov 13, 2022",0.26
"Nov 14, 2022",0.412
"Nov 15, 2022",0.317
"Nov 16, 2022",0.291
"Nov 17, 2022",0.256
"Nov 18, 2022",0.24
"Nov 19, 2022",0.421
"Nov 20, 2022",0.172
"Nov 21, 2022",0.237
"Nov 22, 2022",0.245
"Nov 23, 2022",0.23
"Nov 24, 2022",0.236
