month   , avg_LST_Day_1km, avg_NDSI, avg_NDVI, avg_precipitation
Apr 2000, 12.543         , 0.387   ,  626.659,             0.521
Aug 2000, 21.553         , 0.029   , 1964.615,             1.282
Dec 2000, -6.053         , 0.374   ,  472.532,             0.465
Feb 2000, -2.764         , 0.452   ,  246.799,             0.552
Jan 2000,                ,         ,         ,             0.837
Jul 2000, 20.867         , 0.075   , 2098.979,             1.383
Jun 2000, 21.014         , 0.112   , 1753.918,             1.131
Mar 2000, 3.182          , 0.426   ,  368.545,             1.116
May 2000, 19.558         , 0.196   , 1166.658,             1.132
Nov 2000, 3.99           , 0.223   ,  783.341,             0.222
Oct 2000, 14.286         , 0.099   , 1178.388,             0.272
Sep 2000, 19.564         , 0.049   , 1580.416,             1.37
Apr 2001, 12.706         , 0.335   ,  653.56 ,             0.977
Aug 2001, 22.736         , -0.038  , 1989.39 ,             1.438
Dec 2001, -5.966         , 0.378   ,  404.445,             0.412
Feb 2001, 0.329          , 0.352   ,  529.379,             0.569
Jan 2001, -4.522         , 0.367   ,  433.517,             0.414
Jul 2001, 21.649         , 0.028   , 2185.943,             1.887
Jun 2001, 22.83          , 0.07    , 1767.092,             1.385
Mar 2001, 4.759          , 0.381   ,  525.949,             0.965
May 2001, 20.422         , 0.16    , 1205.94 ,             0.897
Nov 2001, 0.731          , 0.376   ,  513.02 ,             0.382
Oct 2001, 12.314         , 0.094   , 1161.115,             0.343
Sep 2001, 17.548         , 0.047   , 1423.323,             1.374
Apr 2002, 9.284          , 0.419   ,  562.737,             1.485
Aug 2002, 21.237         , 0.002   , 2093.025,             1.597
Dec 2002, -4.852         , 0.315   ,  542.317,             0.524
Feb 2002, -4.084         , 0.434   ,  326.877,             1.059
Jan 2002, -9.207         , 0.444   ,  296.596,             0.489
Jul 2002, 21.977         , 0.01    , 2064.443,             1.155
Jun 2002, 19.405         , 0.151   , 1638.863,             1.821
Mar 2002, 0.133          , 0.455   ,  433.606,             1.141
May 2002, 16.383         , 0.291   ,  894.183,             0.674
Nov 2002, 5.226          , 0.152   , 1109.183,             0.208
Oct 2002, 12.839         , 0.009   , 1413.44 ,             0.459
Sep 2002, 17.557         , 0.075   , 1771.547,             1.613
Apr 2003, 9.924          , 0.444   ,  479.553,             2.011
Aug 2003, 21.479         , 0.023   , 2231.037,             0.985
Dec 2003, -6.844         , 0.331   ,  480.095,             0.78
Feb 2003, -3.198         , 0.416   ,  310.529,             2.204
Jan 2003, -4.413         , 0.337   ,  518.413,             0.677
Jul 2003, 22.829         , 0.006   , 2215.079,             2.217
Jun 2003, 18.843         , 0.187   , 1504.589,             1.258
Mar 2003, 1.218          , 0.458   ,  349.498,             2.186
May 2003, 13.176         , 0.376   ,  799.527,             2.324
Nov 2003, 1.419          , 0.288   ,  903.852,             0.344
Oct 2003, 10.902         , 0.166   , 1178.852,             0.321
Sep 2003, 16.95          , 0.065   , 1605.633,             1.625
Apr 2004, 11.146         , 0.393   ,  699.449,             2.036
Aug 2004, 20.678         , 0.037   , 2139.355,             1.462
