month,avg_LST_Day_1km
Feb 2000,-2.764
Mar 2000,3.182
Apr 2000,12.543
May 2000,19.558
Jun 2000,21.014
Jul 2000,20.867
Aug 2000,21.553
Sep 2000,19.564
Oct 2000,14.286
Nov 2000,3.99
Dec 2000,-6.053
Jan 2001,-4.522
Feb 2001,0.329
Mar 2001,4.759
Apr 2001,12.706
May 2001,20.422
Jun 2001,22.83
Jul 2001,21.649
Aug 2001,22.736
Sep 2001,17.548
Oct 2001,12.314
Nov 2001,0.731
Dec 2001,-5.966
Jan 2002,-9.207
Feb 2002,-4.084
Mar 2002,0.133
Apr 2002,9.284
May 2002,16.383
Jun 2002,19.405
Jul 2002,21.977
Aug 2002,21.237
Sep 2002,17.557
Oct 2002,12.839
Nov 2002,5.226
Dec 2002,-4.852
Jan 2003,-4.413
Feb 2003,-3.198
Mar 2003,1.218
Apr 2003,9.924
May 2003,13.176
Jun 2003,18.843
Jul 2003,22.829
Aug 2003,21.479
Sep 2003,16.95
Oct 2003,10.902
Nov 2003,1.419
Dec 2003,-6.844
Jan 2004,-9.981
Feb 2004,-4.836
Mar 2004,7.37
Apr 2004,11.146
May 2004,15.378
Jun 2004,18.712
Jul 2004,21.667
Aug 2004,20.678
Sep 2004,19.489
Oct 2004,7.775
Nov 2004,2.004
Dec 2004,-5.274
Jan 2005,-11.906
Feb 2005,-7.457
Mar 2005,0.617
Apr 2005,7.965
May 2005,14.341
Jun 2005,18.704
Jul 2005,20.203
Aug 2005,21.604
Sep 2005,20.005
Oct 2005,12.342
Nov 2005,1.968
Dec 2005,-5.512
Jan 2006,-11.7
Feb 2006,0.643
Mar 2006,1.516
Apr 2006,9.616
May 2006,18.662
Jun 2006,19.619
Jul 2006,23.622
Aug 2006,18.601
Sep 2006,17.244
Oct 2006,11.392
Nov 2006,0.596
Dec 2006,-9.305
Jan 2007,-8.113
Feb 2007,-3.463
Mar 2007,0.026
Apr 2007,12.747
May 2007,18.225
Jun 2007,21.278
Jul 2007,21.996
Aug 2007,21.466
Sep 2007,18.132
Oct 2007,12.429
Nov 2007,5.766
Dec 2007,-4.477
Jan 2008,-8.346
Feb 2008,-7.696
Mar 2008,5.113
Apr 2008,9.894
May 2008,16.464
Jun 2008,21.746
Jul 2008,22.359
Aug 2008,20.326
Sep 2008,16.494
Oct 2008,11.507
Nov 2008,3.438
Dec 2008,-5.98
Jan 2009,-7.682
Feb 2009,-5.821
Mar 2009,1.994
Apr 2009,9.587
May 2009,14.218
Jun 2009,17.629
Jul 2009,20.598
Aug 2009,23.079
Sep 2009,18.846
Oct 2009,11.934
Nov 2009,0.14
Dec 2009,-9.262
Jan 2010,-6.493
Feb 2010,-5.636
Mar 2010,6.276
Apr 2010,12.143
May 2010,13.943
Jun 2010,16.053
Jul 2010,18.854
Aug 2010,16.126
Sep 2010,16.184
Oct 2010,12.228
Nov 2010,5.586
Dec 2010,-1.443
Jan 2011,-8.549
Feb 2011,-8.167
Mar 2011,2.81
Apr 2011,7.676
May 2011,17.366
Jun 2011,21.847
Jul 2011,20.921
Aug 2011,21.813
Sep 2011,16.214
Oct 2011,12.11
Nov 2011,3.343
Dec 2011,-4.441
Jan 2012,-8.918
Feb 2012,-3.07
Mar 2012,4.164
Apr 2012,11.26
May 2012,15.768
Jun 2012,18.713
Jul 2012,21.419
Aug 2012,20.218
Sep 2012,14.102
Oct 2012,9.007
Nov 2012,2.446
Dec 2012,-6.456
Jan 2013,-9.852
Feb 2013,-5.594
Mar 2013,3.87
Apr 2013,10.511
May 2013,13.846
Jun 2013,20.039
Jul 2013,23.398
