system:time_start,NDSI
"Jan 1, 2022",0.231
"Jan 2, 2022",-0.026
"Jan 3, 2022",0.374
"Jan 4, 2022",0.202
"Jan 5, 2022",0.365
"Jan 6, 2022",0.149
"Jan 7, 2022",0.427
"Jan 8, 2022",0.302
"Jan 9, 2022",0.118
"Jan 10, 2022",-0.097
"Jan 11, 2022",0.017
"Jan 12, 2022",0.174
"Jan 13, 2022",-0.037
"Jan 14, 2022",-0.038
"Jan 15, 2022",0.283
"Jan 16, 2022",0.197
"Jan 17, 2022",0.277
"Jan 18, 2022",-0.056
"Jan 19, 2022",0.219
"Jan 20, 2022",-0.05
"Jan 21, 2022",0.12
"Jan 22, 2022",0.467
"Jan 23, 2022",0.164
"Jan 24, 2022",-0.017
"Jan 25, 2022",-0.031
"Jan 26, 2022",-0.128
"Jan 27, 2022",-0.041
"Jan 28, 2022",-0.101
"Jan 29, 2022",-0.097
"Jan 30, 2022",0.014
"Jan 31, 2022",0.033
"Feb 1, 2022",-0.072
"Feb 2, 2022",0.123
"Feb 3, 2022",-0.053
"Feb 4, 2022",-0.053
"Feb 5, 2022",-0.029
"Feb 6, 2022",0.176
"Feb 7, 2022",-0.04
"Feb 8, 2022",0.062
"Feb 9, 2022",-0.108
"Feb 10, 2022",-0.085
"Feb 11, 2022",-0.134
"Feb 12, 2022",-0.075
"Feb 13, 2022",-0.075
"Feb 14, 2022",0.161
"Feb 15, 2022",-0.092
"Feb 16, 2022",-0.141
"Feb 17, 2022",0.061
"Feb 18, 2022",-0.107
"Feb 19, 2022",-0.055
"Feb 20, 2022",-0.146
"Feb 21, 2022",-0.029
"Feb 22, 2022",0.384
"Feb 23, 2022",0.115
"Feb 24, 2022",0.042
"Feb 25, 2022",0.291
"Feb 26, 2022",0.021
"Feb 27, 2022",-0.086
"Feb 28, 2022",0.072
"Mar 1, 2022",-0.119
"Mar 2, 2022",0.191
"Mar 3, 2022",-0.029
"Mar 4, 2022",-0.094
"Mar 5, 2022",0.281
"Mar 6, 2022",0.321
"Mar 7, 2022",0.227
"Mar 8, 2022",0.257
"Mar 9, 2022",0.185
"Mar 10, 2022",-0.012
"Mar 11, 2022",-0.063
"Mar 12, 2022",0.211
"Mar 13, 2022",-0.005
"Mar 14, 2022",-0.128
"Mar 15, 2022",-0.164
"Mar 16, 2022",-0.133
"Mar 17, 2022",-0.136
"Mar 18, 2022",-0.144
"Mar 19, 2022",-0.073
"Mar 20, 2022",-0.122
"Mar 21, 2022",-0.132
"Mar 22, 2022",-0.123
"Mar 23, 2022",-0.046
"Mar 24, 2022",-0.129
"Mar 25, 2022",-0.161
"Mar 26, 2022",-0.152
