month,avg_LST_Day_1km
Feb 2000,18.563
Mar 2000,18.879
Apr 2000,29.649
May 2000,33.938
Jun 2000,32.489
Jul 2000,29.904
Aug 2000,30.095
Sep 2000,28.781
Oct 2000,27.529
Nov 2000,19.213
Dec 2000,9.784
Jan 2001,10.139
Feb 2001,15.657
Mar 2001,22.134
Apr 2001,27.728
May 2001,33.856
Jun 2001,32.54
Jul 2001,28.129
Aug 2001,28.879
Sep 2001,28.231
Oct 2001,26.033
Nov 2001,19.372
Dec 2001,10.998
Jan 2002,9.014
Feb 2002,11.122
Mar 2002,17.773
Apr 2002,26.903
May 2002,33.948
Jun 2002,33.209
Jul 2002,31.374
Aug 2002,27.715
Sep 2002,27.454
Oct 2002,24.654
Nov 2002,17.19
Dec 2002,10.432
Jan 2003,8.181
Feb 2003,10.255
Mar 2003,16.383
Apr 2003,26.093
May 2003,31.623
Jun 2003,32.828
Jul 2003,28.312
Aug 2003,27.563
Sep 2003,27.377
Oct 2003,24.755
Nov 2003,16.56
Dec 2003,11.457
Jan 2004,4.655
Feb 2004,12.291
Mar 2004,23.482
Apr 2004,27.956
May 2004,32.215
Jun 2004,31.859
Jul 2004,30.371
Aug 2004,28.07
Sep 2004,29.193
Oct 2004,20.917
Nov 2004,16.314
Dec 2004,9.895
Jan 2005,3.004
Feb 2005,5.951
Mar 2005,16.007
Apr 2005,25.669
May 2005,28.883
Jun 2005,33.597
Jul 2005,28.512
Aug 2005,28.491
Sep 2005,28.718
Oct 2005,25.374
Nov 2005,16.58
Dec 2005,10.848
Jan 2006,7.223
Feb 2006,14.762
Mar 2006,17.037
Apr 2006,26.172
May 2006,33.294
Jun 2006,32.756
Jul 2006,29.556
Aug 2006,25.916
Sep 2006,28.307
Oct 2006,24.216
Nov 2006,12.951
Dec 2006,6.368
Jan 2007,6.267
Feb 2007,6.711
Mar 2007,16.911
Apr 2007,27.357
May 2007,33.585
Jun 2007,32.933
Jul 2007,29.29
Aug 2007,28.183
Sep 2007,27.345
Oct 2007,25.872
Nov 2007,17.802
Dec 2007,9.111
Jan 2008,5.465
Feb 2008,9.358
Mar 2008,22.442
Apr 2008,23.699
May 2008,32.198
Jun 2008,29.729
Jul 2008,29.125
Aug 2008,26.696
Sep 2008,27.567
Oct 2008,25.754
Nov 2008,19.005
Dec 2008,11.729
Jan 2009,7.257
Feb 2009,12.486
Mar 2009,17.383
Apr 2009,24.635
May 2009,31.822
Jun 2009,35.185
Jul 2009,30.617
Aug 2009,29.398
Sep 2009,29.596
Oct 2009,25.734
Nov 2009,16.859
Dec 2009,9.859
Jan 2010,10.031
Feb 2010,10.437
Mar 2010,22.142
Apr 2010,29.788
May 2010,33.022
Jun 2010,33.54
Jul 2010,28.716
Aug 2010,22.842
Sep 2010,25.728
Oct 2010,24.278
Nov 2010,19.08
Dec 2010,10.844
Jan 2011,6.62
Feb 2011,9.496
Mar 2011,19.794
Apr 2011,24.497
May 2011,33.581
Jun 2011,32.286
Jul 2011,27.975
Aug 2011,26.861
Sep 2011,25.361
Oct 2011,24.934
Nov 2011,18.088
Dec 2011,10.582
Jan 2012,4.099
Feb 2012,8.877
