system:time_start,NDVI
"Feb 18, 2000","1,864.482"
"Mar 5, 2000","1,950.279"
"Mar 21, 2000","2,002.192"
"Apr 6, 2000","2,043.985"
"Apr 22, 2000","2,039.47"
"May 8, 2000","2,015.777"
"May 24, 2000","2,091.174"
"Jun 9, 2000","2,212.999"
"Jun 25, 2000","2,412.515"
"Jul 11, 2000","2,736.241"
"Jul 27, 2000","2,894.959"
"Aug 12, 2000","3,044.808"
"Aug 28, 2000","2,901.465"
"Sep 13, 2000","2,773.896"
"Sep 29, 2000","2,525.478"
"Oct 15, 2000","2,318.059"
"Oct 31, 2000","2,149.074"
"Nov 16, 2000","1,974.229"
"Dec 2, 2000","1,871.315"
"Dec 18, 2000","1,752.972"
"Jan 1, 2001","1,820.588"
"Jan 17, 2001","1,829.609"
"Feb 2, 2001","1,791.457"
"Feb 18, 2001","1,828.219"
"Mar 6, 2001","1,855.616"
"Mar 22, 2001","1,849.533"
"Apr 7, 2001","1,887.326"
"Apr 23, 2001","1,997.967"
"May 9, 2001","2,015.633"
"May 25, 2001","2,024.926"
"Jun 10, 2001","1,974.085"
"Jun 26, 2001","2,513.161"
"Jul 12, 2001","2,818.403"
"Jul 28, 2001","3,052.893"
"Aug 13, 2001","3,108.312"
"Aug 29, 2001","2,862.415"
"Sep 14, 2001","2,583.784"
"Sep 30, 2001","2,394.909"
"Oct 16, 2001","2,138.327"
"Nov 1, 2001","1,895.546"
"Nov 17, 2001","1,851.377"
"Dec 3, 2001","1,849.245"
"Dec 19, 2001","1,773.392"
"Jan 1, 2002","1,791.504"
"Jan 17, 2002","1,696.406"
"Feb 2, 2002","1,708.436"
"Feb 18, 2002","1,936.504"
"Mar 6, 2002","2,032.913"
"Mar 22, 2002","2,081.593"
"Apr 7, 2002","2,088.195"
"Apr 23, 2002","2,070.344"
"May 9, 2002","2,054.243"
"May 25, 2002","2,050.249"
"Jun 10, 2002","2,078.633"
"Jun 26, 2002","2,469.941"
"Jul 12, 2002","2,543.711"
"Jul 28, 2002","2,614.867"
"Aug 13, 2002","2,799.877"
"Aug 29, 2002","3,132.692"
"Sep 14, 2002","2,976.022"
"Sep 30, 2002","2,678.535"
"Oct 16, 2002","2,387.231"
"Nov 1, 2002","2,247.326"
"Nov 17, 2002","2,057.207"
"Dec 3, 2002","1,783.603"
"Dec 19, 2002","1,758.863"
"Jan 1, 2003","1,845.022"
"Jan 17, 2003","1,781.11"
"Feb 2, 2003","1,940.882"
"Feb 18, 2003","1,660.449"
"Mar 6, 2003","1,966.514"
"Mar 22, 2003","2,069.621"
"Apr 7, 2003","2,187.618"
"Apr 23, 2003","2,247.029"
"May 9, 2003","2,171.967"
"May 25, 2003","2,166.52"
"Jun 10, 2003","2,207.44"
"Jun 26, 2003","2,464.358"
"Jul 12, 2003","2,857.668"
