system:time_start,LST_Day_1km
"Jan 1, 2022",13.194
"Jan 2, 2022",15.436
"Jan 3, 2022",
"Jan 4, 2022",6.367
"Jan 5, 2022",6.342
"Jan 6, 2022",-3.451
"Jan 7, 2022",
"Jan 8, 2022",5.087
"Jan 9, 2022",3.175
"Jan 10, 2022",5.459
"Jan 11, 2022",5.426
"Jan 12, 2022",0.129
"Jan 13, 2022",8.958
"Jan 14, 2022",6.175
"Jan 15, 2022",-8.875
"Jan 16, 2022",2.223
"Jan 17, 2022",17.471
"Jan 18, 2022",11.765
"Jan 19, 2022",-14.22
"Jan 20, 2022",4.627
"Jan 21, 2022",8.585
"Jan 22, 2022",-11.255
"Jan 23, 2022",9.524
"Jan 24, 2022",0.356
"Jan 25, 2022",6.64
"Jan 26, 2022",5.349
"Jan 27, 2022",5.788
"Jan 28, 2022",12.553
"Jan 29, 2022",8.071
"Jan 30, 2022",8.337
"Jan 31, 2022",3.546
"Feb 1, 2022",8.417
"Feb 2, 2022",13.677
"Feb 3, 2022",8.108
"Feb 4, 2022",4.615
"Feb 5, 2022",4.683
"Feb 6, 2022",15.981
"Feb 7, 2022",6.139
"Feb 8, 2022",17.123
"Feb 9, 2022",4.342
"Feb 10, 2022",11.361
"Feb 11, 2022",9.885
"Feb 12, 2022",12.98
"Feb 13, 2022",11.828
"Feb 14, 2022",3.151
"Feb 15, 2022",16.528
"Feb 16, 2022",10.756
"Feb 17, 2022",7.661
"Feb 18, 2022",13.941
"Feb 19, 2022",16.443
"Feb 20, 2022",12.895
"Feb 21, 2022",13.306
"Feb 22, 2022",14.022
"Feb 23, 2022",19.506
"Feb 24, 2022",19.13
"Feb 25, 2022",10.652
"Feb 26, 2022",15.724
"Feb 27, 2022",9.586
"Feb 28, 2022",17.177
"Mar 1, 2022",19.234
"Mar 2, 2022",6.187
"Mar 3, 2022",17.306
"Mar 4, 2022",11.157
"Mar 5, 2022",3.152
"Mar 6, 2022",14.4
"Mar 7, 2022",15.631
"Mar 8, 2022",21.535
"Mar 9, 2022",19.712
"Mar 10, 2022",14.669
"Mar 11, 2022",19.125
"Mar 12, 2022",23.736
"Mar 13, 2022",27.848
"Mar 14, 2022",25.718
"Mar 15, 2022",24.405
"Mar 16, 2022",26.406
"Mar 17, 2022",24.995
"Mar 18, 2022",28.145
"Mar 19, 2022",23.718
"Mar 20, 2022",25.334
"Mar 21, 2022",22.816
"Mar 22, 2022",23.839
"Mar 23, 2022",29.661
"Mar 24, 2022",21.814
"Mar 25, 2022",24.678
"Mar 26, 2022",24.13
"Mar 27, 2022",25.07
"Mar 28, 2022",29.866
"Mar 29, 2022",27.834
"Mar 30, 2022",27.676
"Mar 31, 2022",25.258
"Apr 1, 2022",29.704
"Apr 2, 2022",30.555
"Apr 3, 2022",27.687
"Apr 4, 2022",27.128
"Apr 5, 2022",28.794
"Apr 6, 2022",30.249
"Apr 7, 2022",27.889
"Apr 8, 2022",31.884
"Apr 9, 2022",31.764
"Apr 10, 2022",32.763
"Apr 11, 2022",24.402
"Apr 12, 2022",32.083
"Apr 13, 2022",33.124
"Apr 14, 2022",29.364
"Apr 15, 2022",29.634
"Apr 16, 2022",27.176
"Apr 17, 2022",29.894
"Apr 18, 2022",21.346
"Apr 19, 2022",20.067
"Apr 20, 2022",34.257
"Apr 21, 2022",31.199
"Apr 22, 2022",33.283
"Apr 23, 2022",26.906
"Apr 24, 2022",27.644
"Apr 25, 2022",28.831
"Apr 26, 2022",32.341
"Apr 27, 2022",33.002
"Apr 28, 2022",31.202
"Apr 29, 2022",32.586
"Apr 30, 2022",34.879
"May 1, 2022",36.593
"May 2, 2022",29.904
"May 3, 2022",25.284
"May 4, 2022",31.293
"May 5, 2022",28.183
"May 6, 2022",35.685
"May 7, 2022",31.561
"May 8, 2022",34.439
"May 9, 2022",27.627
"May 10, 2022",31.742
"May 11, 2022",33.808
"May 12, 2022",36.794
"May 13, 2022",35.991
"May 14, 2022",37.946
"May 15, 2022",38.619
"May 16, 2022",25.579
"May 17, 2022",37.909
"May 18, 2022",29.964
"May 19, 2022",35.326
"May 20, 2022",35.599
"May 21, 2022",38.162
"May 22, 2022",35.251
"May 23, 2022",30.466
"May 24, 2022",31.497
"May 25, 2022",29.901
"May 26, 2022",35.985
"May 27, 2022",33.321
"May 28, 2022",36.294
"May 29, 2022",34.134
"May 30, 2022",29.725
"May 31, 2022",34.049
"Jun 1, 2022",29.624
"Jun 2, 2022",37.464
"Jun 3, 2022",32.618
"Jun 4, 2022",37.785
"Jun 5, 2022",36.914
"Jun 6, 2022",37.032
"Jun 7, 2022",38.102
"Jun 8, 2022",34.771
"Jun 9, 2022",36.538
"Jun 10, 2022",31.231
"Jun 11, 2022",35.348
"Jun 12, 2022",35.765
"Jun 13, 2022",35.089
"Jun 14, 2022",35.957
"Jun 15, 2022",37.827
"Jun 16, 2022",35.224
"Jun 17, 2022",27.227
"Jun 18, 2022",34.675
"Jun 19, 2022",30.154
"Jun 20, 2022",33.691
"Jun 21, 2022",26.617
"Jun 22, 2022",26.367
"Jun 23, 2022",28.12
"Jun 24, 2022",32.606
"Jun 25, 2022",35.204
"Jun 26, 2022",32.114
"Jun 27, 2022",37.302
"Jun 28, 2022",33.649
"Jun 29, 2022",38.447
"Jun 30, 2022",33.571
"Jul 1, 2022",29.057
"Jul 2, 2022",29.36
"Jul 3, 2022",27.282
"Jul 4, 2022",29.443
"Jul 5, 2022",25.37
"Jul 6, 2022",30.837
"Jul 7, 2022",26.216
"Jul 8, 2022",30.838
"Jul 9, 2022",29.758
"Jul 10, 2022",24.786
"Jul 11, 2022",28.454
"Jul 12, 2022",20.774
"Jul 13, 2022",28.153
"Jul 14, 2022",21.603
"Jul 15, 2022",29.944
"Jul 16, 2022",32.562
"Jul 17, 2022",28.784
"Jul 18, 2022",32.804
"Jul 19, 2022",29.975
"Jul 20, 2022",33.154
"Jul 21, 2022",23.598
"Jul 22, 2022",26.77
"Jul 23, 2022",22.372
"Jul 24, 2022",23.336
"Jul 25, 2022",23.703
"Jul 26, 2022",24.45
"Jul 27, 2022",27.08
"Jul 28, 2022",19.95
"Jul 29, 2022",24.745
"Jul 30, 2022",20.61
"Jul 31, 2022",26.075
"Aug 1, 2022",23.274
"Aug 2, 2022",26.384
"Aug 3, 2022",27.911
"Aug 4, 2022",27.095
"Aug 5, 2022",30.52
"Aug 6, 2022",22.128
"Aug 7, 2022",30.021
"Aug 8, 2022",24.987
"Aug 9, 2022",29.119
"Aug 10, 2022",30.732
"Aug 11, 2022",27.777
"Aug 12, 2022",32.414
"Aug 13, 2022",25.082
"Aug 14, 2022",30.022
"Aug 15, 2022",29.289
"Aug 16, 2022",32.365
"Aug 17, 2022",16.126
"Aug 18, 2022",11.163
