system:time_start,LST_Day_1km
"Jan 1, 2010",21.984
"Jan 2, 2010",22.5
"Jan 3, 2010",23.252
"Jan 4, 2010",19.991
"Jan 5, 2010",21.837
"Jan 6, 2010",24.897
"Jan 7, 2010",19.21
"Jan 8, 2010",18.243
"Jan 9, 2010",19.946
"Jan 10, 2010",20.873
"Jan 11, 2010",21.502
"Jan 12, 2010",14.725
"Jan 13, 2010",18.691
"Jan 14, 2010",17.036
"Jan 15, 2010",19.099
"Jan 16, 2010",20.811
"Jan 17, 2010",22.231
"Jan 18, 2010",22.492
"Jan 19, 2010",18.527
"Jan 20, 2010",21.128
"Jan 21, 2010",22.571
"Jan 22, 2010",22.871
"Jan 23, 2010",20.398
"Jan 24, 2010",20.236
"Jan 25, 2010",23.162
"Jan 26, 2010",20.125
"Jan 27, 2010",24.239
"Jan 28, 2010",21.354
"Jan 29, 2010",23.359
"Jan 30, 2010",19.219
"Jan 31, 2010",22.128
"Feb 1, 2010",18.324
"Feb 2, 2010",21.856
"Feb 3, 2010",22.251
"Feb 4, 2010",22.447
"Feb 5, 2010",26.263
"Feb 6, 2010",23.141
"Feb 7, 2010",25.278
"Feb 8, 2010",23.104
"Feb 9, 2010",18.153
"Feb 10, 2010",16.317
"Feb 11, 2010",21.765
"Feb 12, 2010",22.29
"Feb 13, 2010",22.209
"Feb 14, 2010",23.239
"Feb 15, 2010",24.25
"Feb 16, 2010",20.192
"Feb 17, 2010",22.313
"Feb 18, 2010",24.037
"Feb 19, 2010",25.9
"Feb 20, 2010",25.907
"Feb 21, 2010",28.095
"Feb 22, 2010",26.213
"Feb 23, 2010",26.58
"Feb 24, 2010",27.886
"Feb 25, 2010",29.097
"Feb 26, 2010",29.644
"Feb 27, 2010",26.013
"Feb 28, 2010",29.848
"Mar 1, 2010",28.788
"Mar 2, 2010",26.335
"Mar 3, 2010",25.41
"Mar 4, 2010",25.678
"Mar 5, 2010",23.706
"Mar 6, 2010",
"Mar 7, 2010",26.003
"Mar 8, 2010",28.408
"Mar 9, 2010",30.307
"Mar 10, 2010",26.183
"Mar 11, 2010",31.475
"Mar 12, 2010",29.589
"Mar 13, 2010",32.019
"Mar 14, 2010",30.094
"Mar 15, 2010",34.453
"Mar 16, 2010",32.622
"Mar 17, 2010",33.345
"Mar 18, 2010",35.137
"Mar 19, 2010",34.538
"Mar 20, 2010",37.296
"Mar 21, 2010",35.877
"Mar 22, 2010",36.01
"Mar 23, 2010",34.008
"Mar 24, 2010",35.672
"Mar 25, 2010",35.087
"Mar 26, 2010",34.245
"Mar 27, 2010",34.893
"Mar 28, 2010",34.475
"Mar 29, 2010",38.018
"Mar 30, 2010",31.989
"Mar 31, 2010",37.793
"Apr 1, 2010",36.391
"Apr 2, 2010",33.144
"Apr 3, 2010",33.939
"Apr 4, 2010",31.242
"Apr 5, 2010",38.868
"Apr 6, 2010",37.2
"Apr 7, 2010",39.431
"Apr 8, 2010",34.486
"Apr 9, 2010",41.861
"Apr 10, 2010",35.88
"Apr 11, 2010",40.387
"Apr 12, 2010",42.602
"Apr 13, 2010",40.172
"Apr 14, 2010",46.988
"Apr 15, 2010",39.1
"Apr 16, 2010",45.1
"Apr 17, 2010",41.065
"Apr 18, 2010",43.196
"Apr 19, 2010",44.28
"Apr 20, 2010",35.677
"Apr 21, 2010",38.689
"Apr 22, 2010",35.967
"Apr 23, 2010",46.422
"Apr 24, 2010",42.184
"Apr 25, 2010",44.392
"Apr 26, 2010",41.146
"Apr 27, 2010",40.336
"Apr 28, 2010",46.251
"Apr 29, 2010",40.186
"Apr 30, 2010",42.8
"May 1, 2010",41.562
"May 2, 2010",48.828
"May 3, 2010",44.266
"May 4, 2010",41.888
"May 5, 2010",43.026
"May 6, 2010",40.718
"May 7, 2010",42.322
"May 8, 2010",35.722
"May 9, 2010",43.357
"May 10, 2010",37.134
"May 11, 2010",46.49
"May 12, 2010",46.452
"May 13, 2010",39.013
"May 14, 2010",45.918
"May 15, 2010",43.902
"May 16, 2010",46.71
"May 17, 2010",44.489
"May 18, 2010",41.524
"May 19, 2010",43.083
"May 20, 2010",50.425
"May 21, 2010",52.377
"May 22, 2010",45.183
"May 23, 2010",43.887
"May 24, 2010",42.591
"May 25, 2010",52.95
"May 26, 2010",48.403
"May 27, 2010",48.603
"May 28, 2010",45.072
"May 29, 2010",38.579
"May 30, 2010",47.586
"May 31, 2010",44.03
"Jun 1, 2010",46.766
"Jun 2, 2010",39.66
"Jun 3, 2010",41.055
"Jun 4, 2010",36.28
"Jun 5, 2010",40.485
"Jun 6, 2010",40.634
"Jun 7, 2010",38.931
"Jun 8, 2010",39.807
"Jun 9, 2010",34.857
"Jun 10, 2010",42.616
"Jun 11, 2010",40.122
