system:time_start,NDSI
"Jan 1, 2010",-0.322
"Jan 2, 2010",-0.217
"Jan 3, 2010",0.155
"Jan 4, 2010",-0.148
"Jan 5, 2010",-0.158
"Jan 6, 2010",-0.108
"Jan 7, 2010",-0.011
"Jan 8, 2010",-0.122
"Jan 9, 2010",-0.114
"Jan 10, 2010",-0.095
"Jan 11, 2010",-0.089
"Jan 12, 2010",0.304
"Jan 13, 2010",-0.223
"Jan 14, 2010",-0.124
"Jan 15, 2010",-0.287
"Jan 16, 2010",-0.171
"Jan 17, 2010",-0.202
"Jan 18, 2010",-0.081
"Jan 19, 2010",-0.019
"Jan 20, 2010",-0.116
"Jan 21, 2010",-0.108
"Jan 22, 2010",-0.09
"Jan 23, 2010",-0.132
"Jan 24, 2010",-0.074
"Jan 25, 2010",-0.181
"Jan 26, 2010",-0.127
"Jan 27, 2010",-0.16
"Jan 28, 2010",-0.187
"Jan 29, 2010",-0.178
"Jan 30, 2010",-0.34
"Jan 31, 2010",-0.198
"Feb 1, 2010",-0.21
"Feb 2, 2010",-0.349
"Feb 3, 2010",-0.277
"Feb 4, 2010",-0.302
"Feb 5, 2010",0.024
"Feb 6, 2010",0.031
"Feb 7, 2010",0.355
"Feb 8, 2010",0.264
"Feb 9, 2010",-0.27
"Feb 10, 2010",-0.168
"Feb 11, 2010",-0.17
"Feb 12, 2010",-0.317
"Feb 13, 2010",-0.347
"Feb 14, 2010",-0.286
"Feb 15, 2010",-0.259
"Feb 16, 2010",-0.298
"Feb 17, 2010",-0.352
"Feb 18, 2010",-0.334
"Feb 19, 2010",-0.276
"Feb 20, 2010",-0.346
"Feb 21, 2010",-0.331
"Feb 22, 2010",-0.039
"Feb 23, 2010",-0.337
"Feb 24, 2010",-0.313
"Feb 25, 2010",0.041
"Feb 26, 2010",-0.122
"Feb 27, 2010",-0.28
"Feb 28, 2010",0.064
"Mar 1, 2010",-0.329
"Mar 2, 2010",-0.237
"Mar 3, 2010",0.167
"Mar 4, 2010",-0.12
"Mar 5, 2010",-0.299
"Mar 6, 2010",
"Mar 7, 2010",-0.323
"Mar 8, 2010",-0.355
"Mar 9, 2010",-0.344
"Mar 10, 2010",-0.227
"Mar 11, 2010",-0.339
"Mar 12, 2010",-0.312
"Mar 13, 2010",-0.17
"Mar 14, 2010",-0.243
"Mar 15, 2010",-0.35
"Mar 16, 2010",-0.211
"Mar 17, 2010",-0.344
"Mar 18, 2010",-0.332
"Mar 19, 2010",-0.349
"Mar 20, 2010",-0.349
"Mar 21, 2010",-0.165
"Mar 22, 2010",-0.252
"Mar 23, 2010",-0.23
"Mar 24, 2010",-0.328
"Mar 25, 2010",-0.215
"Mar 26, 2010",-0.312
"Mar 27, 2010",-0.324
"Mar 28, 2010",-0.317
"Mar 29, 2010",-0.307
"Mar 30, 2010",-0.248
"Mar 31, 2010",-0.343
"Apr 1, 2010",-0.305
"Apr 2, 2010",-0.066
"Apr 3, 2010",-0.314
"Apr 4, 2010",-0.26
"Apr 5, 2010",-0.343
"Apr 6, 2010",-0.327
"Apr 7, 2010",-0.32
"Apr 8, 2010",-0.164
"Apr 9, 2010",-0.327
"Apr 10, 2010",-0.144
"Apr 11, 2010",-0.274
"Apr 12, 2010",-0.345
"Apr 13, 2010",-0.336
"Apr 14, 2010",-0.364
"Apr 15, 2010",-0.289
"Apr 16, 2010",-0.27
"Apr 17, 2010",-0.18
"Apr 18, 2010",-0.174
"Apr 19, 2010",-0.35
"Apr 20, 2010",-0.158
"Apr 21, 2010",-0.107
"Apr 22, 2010",-0.264
"Apr 23, 2010",-0.355
"Apr 24, 2010",-0.326
"Apr 25, 2010",-0.331
"Apr 26, 2010",-0.287
"Apr 27, 2010",-0.17
"Apr 28, 2010",-0.321
"Apr 29, 2010",-0.217
"Apr 30, 2010",-0.001
"May 1, 2010",-0.235
"May 2, 2010",-0.343
"May 3, 2010",-0.31
"May 4, 2010",-0.19
"May 5, 2010",0.086
"May 6, 2010",0.017
"May 7, 2010",-0.313
"May 8, 2010",-0.276
"May 9, 2010",-0.323
"May 10, 2010",-0.257
"May 11, 2010",-0.324
"May 12, 2010",-0.322
"May 13, 2010",-0.29
"May 14, 2010",-0.32
"May 15, 2010",-0.311
"May 16, 2010",-0.278
"May 17, 2010",0.221
"May 18, 2010",0.084
"May 19, 2010",-0.301
"May 20, 2010",-0.324
"May 21, 2010",-0.325
"May 22, 2010",-0.268
"May 23, 2010",-0.259
"May 24, 2010",-0.269
"May 25, 2010",-0.317
"May 26, 2010",-0.281
"May 27, 2010",-0.288
"May 28, 2010",-0.191
"May 29, 2010",-0.274
"May 30, 2010",-0.308
"May 31, 2010",-0.294
"Jun 1, 2010",-0.302
"Jun 2, 2010",-0.107
"Jun 3, 2010",-0.117
"Jun 4, 2010",-0.177
"Jun 5, 2010",-0.046
"Jun 6, 2010",-0.127
"Jun 7, 2010",-0.015
"Jun 8, 2010",-0.272
"Jun 9, 2010",-0.199
"Jun 10, 2010",-0.267
"Jun 11, 2010",-0.265
"Jun 12, 2010",-0.269
"Jun 13, 2010",-0.194
"Jun 14, 2010",0.119
"Jun 15, 2010",0.133
"Jun 16, 2010",-0.195
"Jun 17, 2010",-0.299
"Jun 18, 2010",-0.229
"Jun 19, 2010",-0.297
"Jun 20, 2010",-0.286
"Jun 21, 2010",-0.28
"Jun 22, 2010",-0.245
"Jun 23, 2010",-0.222
"Jun 24, 2010",-0.25
"Jun 25, 2010",-0.15
"Jun 26, 2010",
"Jun 27, 2010",-0.203
"Jun 28, 2010",-0.227
"Jun 29, 2010",-0.072
"Jun 30, 2010",-0.052
"Jul 1, 2010",-0.226
"Jul 2, 2010",0.079
"Jul 3, 2010",-0.283
"Jul 4, 2010",-0.163
"Jul 5, 2010",-0.29
"Jul 6, 2010",-0.18
"Jul 7, 2010",-0.259
"Jul 8, 2010",-0.216
"Jul 9, 2010",-0.292
"Jul 10, 2010",-0.285
"Jul 11, 2010",-0.208
"Jul 12, 2010",-0.005
"Jul 13, 2010",-0.056
"Jul 14, 2010",-0.231
"Jul 15, 2010",-0.183
"Jul 16, 2010",-0.23
"Jul 17, 2010",-0.201
"Jul 18, 2010",-0.181
"Jul 19, 2010",-0.236
"Jul 20, 2010",0.184
"Jul 21, 2010",-0
"Jul 22, 2010",0.145
"Jul 23, 2010",-0.103
"Jul 24, 2010",-0.043
"Jul 25, 2010",-0.152
"Jul 26, 2010",-0.112
"Jul 27, 2010",0.087
"Jul 28, 2010",0.388
"Jul 29, 2010",0.175
