system:time_start,NDVI
"Jan 1, 2010","3,081.899"
"Jan 17, 2010","3,813.748"
"Feb 2, 2010","3,871.44"
"Feb 18, 2010","4,127.245"
"Mar 6, 2010","4,303.796"
"Mar 22, 2010","3,281.025"
"Apr 7, 2010","2,407.885"
"Apr 23, 2010","1,974.406"
"May 9, 2010","1,755.85"
"May 25, 2010","1,654.959"
"Jun 10, 2010","1,841.72"
"Jun 26, 2010","2,189.198"
"Jul 12, 2010","2,334.816"
"Jul 28, 2010","3,484.485"
"Aug 13, 2010","4,014.271"
"Aug 29, 2010","4,050.803"
"Sep 14, 2010","4,047.047"
"Sep 30, 2010","3,648.8"
"Oct 16, 2010","3,127.11"
"Nov 1, 2010","2,951.907"
"Nov 17, 2010","2,745.068"
"Dec 3, 2010","2,661.435"
"Dec 19, 2010","2,785.166"
"Jan 1, 2011","3,258.574"
"Jan 17, 2011","3,626.82"
"Feb 2, 2011","4,338.698"
"Feb 18, 2011","4,561.745"
"Mar 6, 2011","4,491.929"
"Mar 22, 2011","4,037.258"
"Apr 7, 2011","3,050.028"
"Apr 23, 2011","2,377.19"
"May 9, 2011","2,071.046"
"May 25, 2011","1,914.859"
"Jun 10, 2011","1,952.519"
"Jun 26, 2011","2,531.084"
"Jul 12, 2011","2,863.487"
"Jul 28, 2011","3,393.776"
"Aug 13, 2011","4,051.289"
"Aug 29, 2011","4,595.26"
"Sep 14, 2011","4,350.654"
"Sep 30, 2011","3,994.62"
"Oct 16, 2011","3,524.462"
"Nov 1, 2011","3,156.509"
"Nov 17, 2011","2,994.865"
"Dec 3, 2011","2,919.197"
"Dec 19, 2011","2,805.306"
"Jan 1, 2012","3,143.555"
"Jan 17, 2012","3,507.349"
"Feb 2, 2012","3,740.72"
"Feb 18, 2012","3,809.903"
"Mar 5, 2012","3,876.492"
"Mar 21, 2012","3,200.595"
"Apr 6, 2012","2,881.189"
"Apr 22, 2012","2,320.225"
"May 8, 2012","2,047.118"
"May 24, 2012","1,870.508"
"Jun 9, 2012","1,884.346"
"Jun 25, 2012","2,052.735"
"Jul 11, 2012","2,551.179"
"Jul 27, 2012","2,954.643"
"Aug 12, 2012","3,797.107"
"Aug 28, 2012","4,314.443"
"Sep 13, 2012","4,380.093"
"Sep 29, 2012","3,985.629"
"Oct 15, 2012","3,569.484"
"Oct 31, 2012","3,204.236"
"Nov 16, 2012","2,914.085"
"Dec 2, 2012","2,817.723"
"Dec 18, 2012","3,093.132"
"Jan 1, 2013","3,271.925"
"Jan 17, 2013","3,681.121"
"Feb 2, 2013","4,414.41"
"Feb 18, 2013","4,649.905"
"Mar 6, 2013","4,607.025"
"Mar 22, 2013","4,396.421"
"Apr 7, 2013","2,984.496"
"Apr 23, 2013","2,514.692"
"May 9, 2013","2,197.807"
"May 25, 2013","1,993.051"
"Jun 10, 2013","2,281.71"
"Jun 26, 2013","2,435.825"
"Jul 12, 2013","2,877.281"
"Jul 28, 2013","3,508.497"
"Aug 13, 2013","4,066.463"
"Aug 29, 2013","4,000.842"
"Sep 14, 2013","3,878.945"
"Sep 30, 2013","3,688.328"
"Oct 16, 2013","3,363.745"
"Nov 1, 2013","2,981.999"
"Nov 17, 2013","2,779.883"
"Dec 3, 2013","2,789.824"
"Dec 19, 2013","3,264.435"
"Jan 1, 2014","3,357.244"
"Jan 17, 2014","3,968.705"
"Feb 2, 2014","4,556.649"
"Feb 18, 2014","4,425.639"
"Mar 6, 2014","4,290.157"
"Mar 22, 2014","4,089.452"
"Apr 7, 2014","3,115.136"
"Apr 23, 2014","2,505.891"
"May 9, 2014","2,278.957"
"May 25, 2014","2,119.128"
"Jun 10, 2014","2,003.724"
"Jun 26, 2014","2,275.231"
"Jul 12, 2014","2,590.349"
"Jul 28, 2014","3,429.992"
"Aug 13, 2014","3,583.52"
"Aug 29, 2014","4,091.283"
"Sep 14, 2014","3,987.247"
"Sep 30, 2014","3,641.57"
"Oct 16, 2014","3,347.997"
"Nov 1, 2014","3,049.145"
"Nov 17, 2014","2,672.298"
"Dec 3, 2014","2,618.97"
"Dec 19, 2014","3,038.378"
