system:time_start,LST_Day_1km
"Jan 1, 2005",16.187
"Jan 2, 2005",15.342
"Jan 3, 2005",17.19
"Jan 4, 2005",17.012
"Jan 5, 2005",16.473
"Jan 6, 2005",17.507
"Jan 7, 2005",16.297
"Jan 8, 2005",19.73
"Jan 9, 2005",17.47
"Jan 10, 2005",19.243
"Jan 11, 2005",22.383
"Jan 12, 2005",19.077
"Jan 13, 2005",20.27
"Jan 14, 2005",18.03
"Jan 15, 2005",19.98
"Jan 16, 2005",16.086
"Jan 17, 2005",19.413
"Jan 18, 2005",18.294
"Jan 19, 2005",19.054
"Jan 20, 2005",9.425
"Jan 21, 2005",19.244
"Jan 22, 2005",21.623
"Jan 23, 2005",10.729
"Jan 24, 2005",14.98
"Jan 25, 2005",13.471
"Jan 26, 2005",19.332
"Jan 27, 2005",18.079
"Jan 28, 2005",17.802
"Jan 29, 2005",17.205
"Jan 30, 2005",17.874
"Jan 31, 2005",18.984
"Feb 1, 2005",16.855
"Feb 2, 2005",19.042
"Feb 3, 2005",19.04
"Feb 4, 2005",20.748
"Feb 5, 2005",17.08
"Feb 6, 2005",13.394
"Feb 7, 2005",15.676
"Feb 8, 2005",11.984
"Feb 9, 2005",19.494
"Feb 10, 2005",
"Feb 11, 2005",19.668
"Feb 12, 2005",21.092
"Feb 13, 2005",18.307
"Feb 14, 2005",16.544
"Feb 15, 2005",21.847
"Feb 16, 2005",20.386
"Feb 17, 2005",14.972
"Feb 18, 2005",17.184
"Feb 19, 2005",15.727
"Feb 20, 2005",18.803
"Feb 21, 2005",18.763
"Feb 22, 2005",21.441
"Feb 23, 2005",31.168
"Feb 24, 2005",21.353
"Feb 25, 2005",23.036
"Feb 26, 2005",19.566
"Feb 27, 2005",28.419
"Feb 28, 2005",18.631
"Mar 1, 2005",23.83
"Mar 2, 2005",30.349
"Mar 3, 2005",24.777
"Mar 4, 2005",26.896
"Mar 5, 2005",26.849
"Mar 6, 2005",19.533
"Mar 7, 2005",25.965
"Mar 8, 2005",24.103
"Mar 9, 2005",25.65
"Mar 10, 2005",26.977
"Mar 11, 2005",28.722
"Mar 12, 2005",29.278
"Mar 13, 2005",30.802
"Mar 14, 2005",29.818
"Mar 15, 2005",31.953
"Mar 16, 2005",34.256
"Mar 17, 2005",36.608
