system:time_start,NDSI
"Jan 1, 2015",-0.307
"Jan 2, 2015",-0.354
"Jan 3, 2015",-0.245
"Jan 4, 2015",-0.127
"Jan 5, 2015",-0.056
"Jan 6, 2015",-0.172
"Jan 7, 2015",-0.111
"Jan 8, 2015",-0.014
"Jan 9, 2015",-0.095
"Jan 10, 2015",-0.082
"Jan 11, 2015",-0.089
"Jan 12, 2015",-0.103
"Jan 13, 2015",0.104
"Jan 14, 2015",-0.081
"Jan 15, 2015",-0.256
"Jan 16, 2015",-0.355
"Jan 17, 2015",-0.353
"Jan 18, 2015",-0.348
"Jan 19, 2015",-0.336
"Jan 20, 2015",-0.257
"Jan 21, 2015",0.14
"Jan 22, 2015",-0.108
"Jan 23, 2015",-0.163
"Jan 24, 2015",-0.137
"Jan 25, 2015",-0.176
"Jan 26, 2015",-0.059
"Jan 27, 2015",-0.177
"Jan 28, 2015",-0.333
"Jan 29, 2015",-0.369
"Jan 30, 2015",-0.36
"Jan 31, 2015",-0.357
"Feb 1, 2015",-0.083
"Feb 2, 2015",0.24
"Feb 3, 2015",-0.268
"Feb 4, 2015",-0.321
"Feb 5, 2015",-0.319
"Feb 6, 2015",-0.11
"Feb 7, 2015",0.15
"Feb 8, 2015",-0.342
"Feb 9, 2015",-0.373
"Feb 10, 2015",-0.25
"Feb 11, 2015",-0.354
"Feb 12, 2015",-0.282
"Feb 13, 2015",-0.309
"Feb 14, 2015",-0.371
"Feb 15, 2015",-0.085
"Feb 16, 2015",-0.038
"Feb 17, 2015",-0.107
"Feb 18, 2015",-0.189
"Feb 19, 2015",0.157
"Feb 20, 2015",-0.038
"Feb 21, 2015",-0.09
"Feb 22, 2015",-0.185
"Feb 23, 2015",0.205
"Feb 24, 2015",0.318
"Feb 25, 2015",-0.28
"Feb 26, 2015",-0.363
"Feb 27, 2015",-0.354
"Feb 28, 2015",0.106
"Mar 1, 2015",0.427
"Mar 2, 2015",-0.034
"Mar 3, 2015",-0.171
"Mar 4, 2015",-0.271
"Mar 5, 2015",0.255
"Mar 6, 2015",-0.277
"Mar 7, 2015",0.127
"Mar 8, 2015",0.042
"Mar 9, 2015",-0.291
"Mar 10, 2015",-0.325
"Mar 11, 2015",-0.202
"Mar 12, 2015",-0.195
"Mar 13, 2015",-0.223
"Mar 14, 2015",0.112
"Mar 15, 2015",0.2
"Mar 16, 2015",-0.075
"Mar 17, 2015",-0.221
"Mar 18, 2015",-0.353
"Mar 19, 2015",-0.179
"Mar 20, 2015",-0.312
"Mar 21, 2015",-0.313
"Mar 22, 2015",-0.269
"Mar 23, 2015",-0.342
"Mar 24, 2015",-0.157
"Mar 25, 2015",-0.309
"Mar 26, 2015",0.015
"Mar 27, 2015",-0.279
"Mar 28, 2015",-0.052
"Mar 29, 2015",0.142
"Mar 30, 2015",-0.188
"Mar 31, 2015",-0.167
"Apr 1, 2015",0.155
"Apr 2, 2015",0.001
"Apr 3, 2015",-0.179
"Apr 4, 2015",-0.302
"Apr 5, 2015",-0.348
"Apr 6, 2015",-0.099
"Apr 7, 2015",-0.174
"Apr 8, 2015",-0.343
"Apr 9, 2015",-0.338
"Apr 10, 2015",-0.25
"Apr 11, 2015",-0.032
"Apr 12, 2015",-0.34
"Apr 13, 2015",-0.374
"Apr 14, 2015",-0.36
"Apr 15, 2015",-0.349
"Apr 16, 2015",-0.274
"Apr 17, 2015",-0.279
"Apr 18, 2015",-0.254
"Apr 19, 2015",-0.169
"Apr 20, 2015",-0.258
"Apr 21, 2015",-0.368
"Apr 22, 2015",-0.394
"Apr 23, 2015",-0.373
"Apr 24, 2015",-0.39
"Apr 25, 2015",-0.36
"Apr 26, 2015",-0.369
"Apr 27, 2015",-0.208
"Apr 28, 2015",-0.37
"Apr 29, 2015",-0.292
"Apr 30, 2015",-0.227
"May 1, 2015",-0.384
"May 2, 2015",-0.36
"May 3, 2015",-0.376
"May 4, 2015",-0.349
"May 5, 2015",-0.359
"May 6, 2015",-0.3
"May 7, 2015",-0.282
"May 8, 2015",-0.309
"May 9, 2015",-0.154
"May 10, 2015",-0.254
"May 11, 2015",0.176
"May 12, 2015",-0.193
"May 13, 2015",-0.187
"May 14, 2015",-0.354
"May 15, 2015",-0.366
"May 16, 2015",-0.356
"May 17, 2015",-0.313
"May 18, 2015",-0.324
"May 19, 2015",-0.094
"May 20, 2015",-0.329
"May 21, 2015",-0.35
"May 22, 2015",-0.328
"May 23, 2015",-0.337
"May 24, 2015",-0.28
"May 25, 2015",-0.33
"May 26, 2015",-0.359
"May 27, 2015",-0.321
"May 28, 2015",0.083
"May 29, 2015",-0.204
"May 30, 2015",-0.328
"May 31, 2015",-0.308
"Jun 1, 2015",-0.268
"Jun 2, 2015",-0.277
"Jun 3, 2015",-0.046
"Jun 4, 2015",-0.195
"Jun 5, 2015",-0.278
"Jun 6, 2015",-0.339
"Jun 7, 2015",-0.331
"Jun 8, 2015",-0.328
"Jun 9, 2015",-0.251
"Jun 10, 2015",-0.158
"Jun 11, 2015",-0.254
"Jun 12, 2015",-0.276
"Jun 13, 2015",-0.264
"Jun 14, 2015",-0.193
"Jun 15, 2015",-0.114
"Jun 16, 2015",-0.168
"Jun 17, 2015",-0.292
"Jun 18, 2015",-0.268
"Jun 19, 2015",-0.302
"Jun 20, 2015",-0.295
"Jun 21, 2015",-0.255
"Jun 22, 2015",-0.249
"Jun 23, 2015",0.112
"Jun 24, 2015",0.212
"Jun 25, 2015",-0.317
"Jun 26, 2015",-0.263
"Jun 27, 2015",-0.293
"Jun 28, 2015",-0.268
"Jun 29, 2015",-0.276
"Jun 30, 2015",-0.094
"Jul 1, 2015",-0.203
"Jul 2, 2015",-0.042
"Jul 3, 2015",-0.272
"Jul 4, 2015",-0.233
"Jul 5, 2015",-0.244
"Jul 6, 2015",-0.179
"Jul 7, 2015",0.332
"Jul 8, 2015",-0.146
"Jul 9, 2015",-0.079
"Jul 10, 2015",0.003
"Jul 11, 2015",0.061
"Jul 12, 2015",-0.139
"Jul 13, 2015",-0.087
"Jul 14, 2015",-0.242
"Jul 15, 2015",-0.275
"Jul 16, 2015",-0.2
"Jul 17, 2015",-0.031
"Jul 18, 2015",-0.052
"Jul 19, 2015",-0.161
"Jul 20, 2015",-0.046
"Jul 21, 2015",-0.059
"Jul 22, 2015",-0.046
"Jul 23, 2015",-0.031
"Jul 24, 2015",0.052
"Jul 25, 2015",0.043
"Jul 26, 2015",0.094
"Jul 27, 2015",-0.061
"Jul 28, 2015",-0.057
"Jul 29, 2015",0.043
"Jul 30, 2015",0.023
"Jul 31, 2015",0.202
"Aug 1, 2015",0.173
"Aug 2, 2015",0.139
"Aug 3, 2015",0.008
"Aug 4, 2015",-0.112
