system:time_start,NDSI
"Jan 1, 2022",-0.369
"Jan 2, 2022",-0.343
"Jan 3, 2022",-0.304
"Jan 4, 2022",0.103
"Jan 5, 2022",0.059
"Jan 6, 2022",-0.09
"Jan 7, 2022",-0
"Jan 8, 2022",-0.22
"Jan 9, 2022",-0.246
"Jan 10, 2022",-0.381
"Jan 11, 2022",-0.318
"Jan 12, 2022",-0.33
"Jan 13, 2022",-0.342
"Jan 14, 2022",-0.345
"Jan 15, 2022",-0.359
"Jan 16, 2022",-0.333
"Jan 17, 2022",-0.457
"Jan 18, 2022",-0.34
"Jan 19, 2022",-0.222
"Jan 20, 2022",-0.33
"Jan 21, 2022",-0.184
"Jan 22, 2022",-0.066
"Jan 23, 2022",-0.315
"Jan 24, 2022",-0.316
"Jan 25, 2022",-0.328
"Jan 26, 2022",-0.386
"Jan 27, 2022",-0.335
"Jan 28, 2022",-0.365
"Jan 29, 2022",-0.341
"Jan 30, 2022",-0.341
"Jan 31, 2022",-0.258
"Feb 1, 2022",-0.337
"Feb 2, 2022",-0.395
"Feb 3, 2022",-0.289
"Feb 4, 2022",-0.36
"Feb 5, 2022",-0.333
"Feb 6, 2022",-0.331
"Feb 7, 2022",-0.254
"Feb 8, 2022",-0.123
"Feb 9, 2022",-0.35
"Feb 10, 2022",-0.337
"Feb 11, 2022",-0.384
"Feb 12, 2022",-0.339
"Feb 13, 2022",-0.356
"Feb 14, 2022",-0.297
"Feb 15, 2022",-0.343
"Feb 16, 2022",-0.344
"Feb 17, 2022",-0.337
"Feb 18, 2022",-0.417
"Feb 19, 2022",-0.342
"Feb 20, 2022",-0.362
"Feb 21, 2022",-0.333
"Feb 22, 2022",-0.301
"Feb 23, 2022",-0.274
"Feb 24, 2022",-0.333
"Feb 25, 2022",-0.324
"Feb 26, 2022",-0.335
"Feb 27, 2022",-0.352
"Feb 28, 2022",-0.283
"Mar 1, 2022",-0.34
"Mar 2, 2022",-0.231
"Mar 3, 2022",-0.336
"Mar 4, 2022",-0.327
"Mar 5, 2022",-0.203
"Mar 6, 2022",-0.022
"Mar 7, 2022",-0.325
"Mar 8, 2022",-0.332
"Mar 9, 2022",-0.314
"Mar 10, 2022",-0.298
"Mar 11, 2022",-0.322
"Mar 12, 2022",-0.257
"Mar 13, 2022",-0.325
"Mar 14, 2022",-0.335
"Mar 15, 2022",-0.345
"Mar 16, 2022",-0.333
"Mar 17, 2022",-0.356
"Mar 18, 2022",-0.334
"Mar 19, 2022",-0.323
"Mar 20, 2022",-0.228
"Mar 21, 2022",-0.331
"Mar 22, 2022",-0.335
"Mar 23, 2022",-0.325
"Mar 24, 2022",-0.326
"Mar 25, 2022",-0.321
"Mar 26, 2022",-0.34
"Mar 27, 2022",-0.329
"Mar 28, 2022",-0.332
"Mar 29, 2022",-0.285
"Mar 30, 2022",-0.33
"Mar 31, 2022",-0.334
"Apr 1, 2022",-0.333
"Apr 2, 2022",-0.348
"Apr 3, 2022",-0.331
"Apr 4, 2022",-0.342
"Apr 5, 2022",-0.307
"Apr 6, 2022",-0.332
"Apr 7, 2022",-0.363
"Apr 8, 2022",-0.336
"Apr 9, 2022",-0.344
"Apr 10, 2022",-0.316
"Apr 11, 2022",-0.27
"Apr 12, 2022",-0.325
"Apr 13, 2022",-0.303
"Apr 14, 2022",-0.289
"Apr 15, 2022",-0.322
"Apr 16, 2022",-0.322
"Apr 17, 2022",-0.311
"Apr 18, 2022",-0.311
"Apr 19, 2022",-0.305
"Apr 20, 2022",-0.249
"Apr 21, 2022",-0.297
"Apr 22, 2022",-0.31
"Apr 23, 2022",-0.297
"Apr 24, 2022",-0.288
"Apr 25, 2022",-0.323
"Apr 26, 2022",-0.308
"Apr 27, 2022",-0.326
"Apr 28, 2022",-0.315
"Apr 29, 2022",-0.314
"Apr 30, 2022",-0.274
"May 1, 2022",-0.304
"May 2, 2022",-0.257
"May 3, 2022",-0.264
"May 4, 2022",-0.28
"May 5, 2022",-0.225
"May 6, 2022",-0.286
"May 7, 2022",-0.246
"May 8, 2022",-0.302
"May 9, 2022",-0.293
"May 10, 2022",-0.296
"May 11, 2022",-0.312
"May 12, 2022",-0.292
"May 13, 2022",-0.315
"May 14, 2022",-0.285
"May 15, 2022",-0.304
"May 16, 2022",-0.184
"May 17, 2022",-0.28
"May 18, 2022",-0.262
"May 19, 2022",-0.29
"May 20, 2022",-0.292
"May 21, 2022",-0.284
"May 22, 2022",-0.309
"May 23, 2022",-0.148
"May 24, 2022",-0.277
"May 25, 2022",-0.198
"May 26, 2022",-0.261
"May 27, 2022",-0.249
"May 28, 2022",-0.225
"May 29, 2022",-0.277
"May 30, 2022",-0.212
"May 31, 2022",-0.26
"Jun 1, 2022",-0.237
"Jun 2, 2022",-0.291
"Jun 3, 2022",-0.274
"Jun 4, 2022",-0.288
"Jun 5, 2022",-0.302
"Jun 6, 2022",-0.281
"Jun 7, 2022",-0.302
"Jun 8, 2022",-0.263
"Jun 9, 2022",-0.289
"Jun 10, 2022",-0.233
"Jun 11, 2022",-0.273
"Jun 12, 2022",-0.221
"Jun 13, 2022",-0.257
"Jun 14, 2022",-0.279
"Jun 15, 2022",-0.26
"Jun 16, 2022",-0.235
