system:time_start,LST_Day_1km
"Jan 1, 2022",23.436
"Jan 2, 2022",24.813
"Jan 3, 2022",27.092
"Jan 4, 2022",20.512
"Jan 5, 2022",20.887
"Jan 6, 2022",16.646
"Jan 7, 2022",19.063
"Jan 8, 2022",18.076
"Jan 9, 2022",22.072
"Jan 10, 2022",22.28
"Jan 11, 2022",22.202
"Jan 12, 2022",22.449
"Jan 13, 2022",22.483
"Jan 14, 2022",24.37
"Jan 15, 2022",21.335
"Jan 16, 2022",24.018
"Jan 17, 2022",24.09
"Jan 18, 2022",25.202
"Jan 19, 2022",27.063
"Jan 20, 2022",25.95
"Jan 21, 2022",28.11
"Jan 22, 2022",13.92
"Jan 23, 2022",23.331
"Jan 24, 2022",21.005
"Jan 25, 2022",25.148
"Jan 26, 2022",25.915
"Jan 27, 2022",26.272
"Jan 28, 2022",27.94
"Jan 29, 2022",26.86
"Jan 30, 2022",28.442
"Jan 31, 2022",27.002
"Feb 1, 2022",29.928
"Feb 2, 2022",28.331
"Feb 3, 2022",26.32
"Feb 4, 2022",30.138
"Feb 5, 2022",28.048
"Feb 6, 2022",28.649
"Feb 7, 2022",29.245
"Feb 8, 2022",31.373
"Feb 9, 2022",26.676
"Feb 10, 2022",30.44
"Feb 11, 2022",31.337
"Feb 12, 2022",31.51
"Feb 13, 2022",32.039
"Feb 14, 2022",30.667
"Feb 15, 2022",31.559
"Feb 16, 2022",30.806
"Feb 17, 2022",33.507
"Feb 18, 2022",30.398
"Feb 19, 2022",32.271
"Feb 20, 2022",35.329
"Feb 21, 2022",34.567
"Feb 22, 2022",32.261
"Feb 23, 2022",28.655
"Feb 24, 2022",34.939
"Feb 25, 2022",32.061
"Feb 26, 2022",31.707
"Feb 27, 2022",29.247
"Feb 28, 2022",32.544
"Mar 1, 2022",35.434
"Mar 2, 2022",31.81
"Mar 3, 2022",33.375
"Mar 4, 2022",32.967
"Mar 5, 2022",36.863
"Mar 6, 2022",27.865
"Mar 7, 2022",35.009
"Mar 8, 2022",33.659
"Mar 9, 2022",34.959
"Mar 10, 2022",37.876
"Mar 11, 2022",36.037
"Mar 12, 2022",41.025
"Mar 13, 2022",39.097
"Mar 14, 2022",43.401
"Mar 15, 2022",42.28
"Mar 16, 2022",43.699
"Mar 17, 2022",44.932
"Mar 18, 2022",42.314
"Mar 19, 2022",40.449
"Mar 20, 2022",35.151
"Mar 21, 2022",42.031
"Mar 22, 2022",36.501
"Mar 23, 2022",39.988
"Mar 24, 2022",40.818
"Mar 25, 2022",41.745
"Mar 26, 2022",46.743
"Mar 27, 2022",43.449
"Mar 28, 2022",46.433
"Mar 29, 2022",38.801
"Mar 30, 2022",45.2
"Mar 31, 2022",43.744
"Apr 1, 2022",47.844
"Apr 2, 2022",48.838
"Apr 3, 2022",45.941
"Apr 4, 2022",49.088
"Apr 5, 2022",41.27
"Apr 6, 2022",49.304
"Apr 7, 2022",45.39
"Apr 8, 2022",49.729
"Apr 9, 2022",47.475
"Apr 10, 2022",46.889
"Apr 11, 2022",43.737
"Apr 12, 2022",41.324
"Apr 13, 2022",43.577
"Apr 14, 2022",39.705
"Apr 15, 2022",50.119
"Apr 16, 2022",44.009
"Apr 17, 2022",45.085
"Apr 18, 2022",44.174
"Apr 19, 2022",42.962
"Apr 20, 2022",45.022
"Apr 21, 2022",39.651
"Apr 22, 2022",44.645
"Apr 23, 2022",40.256
"Apr 24, 2022",48.457
"Apr 25, 2022",46.561
"Apr 26, 2022",47.545
"Apr 27, 2022",50.066
"Apr 28, 2022",46.844
"Apr 29, 2022",48.205
"Apr 30, 2022",43.094
"May 1, 2022",50.479
"May 2, 2022",39.294
"May 3, 2022",38.426
"May 4, 2022",40.612
"May 5, 2022",38.998
"May 6, 2022",45.387
"May 7, 2022",40.325
"May 8, 2022",49.439
"May 9, 2022",41.926
"May 10, 2022",48.528
"May 11, 2022",47.54
"May 12, 2022",47.648
"May 13, 2022",52.682
"May 14, 2022",45.705
"May 15, 2022",49.501
"May 16, 2022",36.762
"May 17, 2022",44.735
"May 18, 2022",41.781
"May 19, 2022",48.426
"May 20, 2022",45.203
"May 21, 2022",46.526
"May 22, 2022",50.413
"May 23, 2022",40.054
"May 24, 2022",44.013
"May 25, 2022",34.066
"May 26, 2022",43.612
"May 27, 2022",38.078
"May 28, 2022",40.488
"May 29, 2022",43.574
"May 30, 2022",37.486
"May 31, 2022",43.774
"Jun 1, 2022",38.068
"Jun 2, 2022",47.574
"Jun 3, 2022",44.52
"Jun 4, 2022",45.984
"Jun 5, 2022",44.281
"Jun 6, 2022",43.245
"Jun 7, 2022",46.973
"Jun 8, 2022",38.186
"Jun 9, 2022",46.181
"Jun 10, 2022",38.047
"Jun 11, 2022",44
"Jun 12, 2022",38.556
"Jun 13, 2022",41.041
"Jun 14, 2022",42.524
"Jun 15, 2022",39.501
"Jun 16, 2022",41.513
"Jun 17, 2022",37.793
"Jun 18, 2022",36.552
"Jun 19, 2022",34.923
"Jun 20, 2022",35.716
"Jun 21, 2022",33.074
"Jun 22, 2022",34.238
"Jun 23, 2022",39.192
"Jun 24, 2022",37.536
"Jun 25, 2022",48.995
"Jun 26, 2022",40.073
"Jun 27, 2022",44.111
"Jun 28, 2022",42.692
"Jun 29, 2022",37.978
"Jun 30, 2022",38.402
"Jul 1, 2022",34.333
"Jul 2, 2022",41.912
"Jul 3, 2022",
"Jul 4, 2022",44.584
